IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
8951,Umuntu nakwata inkonto shibili elyo ali mu snow. ,Alemoneka kwati kale atampile ukushelemuka umulandu imilaini shili munfula yabuta,"Eya mukwai, elyo cilepala uku Ali mulemendo nakutalala sana.",Nakutalala sana fye pantu uku kumbali yafwe filemoneka kwati fileima elo nimpepo iyo,"eya mukwai, imfula Shauta shena shalisangwa sana ukufyalo fyabasungu."
8952,Banamayo nabeminina elyo bakwata cup kuminwe yabo.,Kunuma yaba mayo aba kuli itenti mukati muli ibumba yabantu nabekala pama benchi ,Bushe cilepala kwati finshi Bengafwaya uku bali? pantu takulemoneka kwati nikumayanda yabo.,"Tekumayanda kumwabo uku, uku bali niku ncende yakunwa, ukwikala ngolefwaya ukupitwa umwela ","eya mukwai cishinka,  pantu amang'anda yakulwa ifi yalesangwa munshita shakale."
8953,Ibumba lya bantu naiminina elyo yaikata icipampa muminwe yabo.,Ici cipampa cilelanda paku pwisha ubucushi bwabantu mucipanda chabo. ,Eya mukwai pantu cilepala kwati aba bantu baliba nobucushi sanafye. ,Sana fye elo kunuma yabo kuli ibumba yabantu bamo nabekala . Bushe bali pamo ?,"eya mukwai,  cilepala kwati aba bantu bali pamo."
8954,"Abalumendo bali four balebika ifintu mumotoka, elyo banamayo batatu balebatamba. ",Ifi fintu balebika umu fyafulisha sana cipalile kuli aba ba lekuka pali aba bantu ,Eya mukwai elo limbi aba banamayo balelayana .,"Apa pemanine palemoneka asasuba kwati nalimo nakukaba nomba aba bantu, nabafwala ifyakufwala ifyakaba ","eyamukwai, pantu cilepala kwati iyi inshita nikacelo sana."
8955,umukashana naiminina elyo aleolola ukuulu kwakwe.,Naikata ukulu ukutila akolole elo atampe ukushelela mu ice,eya mukwai elo aya mangalo yacitika sana mu fibansa fya ice.,"Umukashana tali eka munchende, kuli nabambi kunuma kumyakwe abakulu nabana",Abantu balemutamba efyo alecita umukashana uyu.
8956,Uyu namayo naikata intambo alepeluka.,Intambo alebomfya uku peluka yalikosa nga kale aponene apa uyu mukashana ,"Bushe ifi afwalile umukashana uyu, Kuti fyamucingilila nga apona?","Teti fimu cingilile nangu panono pantu umubili tabaufimbile, bafwele bemuda ","Eya mukwai, alefwayika ukufwala fyakufwala fyancito iyi alebomba."
8957,Namayo umo naiminina elyo ukuboko kumo nabika kukanwa elyo kumbi naikumbatila.,"Alemoneka aletontonkanya ifyaku cita, ali pama pange ayengi mumano ",Cilemoneka kwati aletontokanya sana nangu  kuli efyo acitile.,Muma tontonkanyo yakwe alemoneka nafulwa kwati kuli abamufulwishe ,Kwena umukashana tamoneka wino pa icinso ngaafulwa.
8958,Abalumendo babili balelwa elyo tabafwele insalu shakumulu.,"Umo nabamu toba ikofi pamona imilopa ngatasha fume, ninshi alishuka sana ",Elyo kuli abantu balebatamba kunuma yabo.,"Abalumendo tabafwele insalu shakumulu, bafwele fye utuputala.","Eya mukwai, ifi fine efyo bafwala ngabalelwa."
8959,Bashitata babili na abaiche tabafwele insalu shakumulu elyo bekele.,"Nabekala mukamu laini baleloleshana, kumo kufulile abaice.",Cilepala kwati pali icintu eco balelolela.,Elo aba baice tabafwele ifilifyonse. Bakakilefye ututambo mumisana yabo nokufisa pantanshi.,"Cilepala kwati nakambi nakukaba, efyo bafulile insalu shakumulu."
8960,Abaice batatu baleyangala elyo balekwela pacikulwa.,"Icikulwa ici cilemoneka muntu,umulandu nacikwata amolu yabili ngomuntu","Aya mukwayi, ici ciikulwa cilemoneka kwati umuntu. ",Aba baice abaleangala apa pali akaume kamo notwanakashi tubili,cilepala kwati abafyashi babo balibatwala ukuyangalilako.
8961,Bashitata mukaputula nabaimya mat elyo banamayo nabaimya icitenge .,Uku bali kulemoneka iloba ilingi elo ifi bafwele fyaku menshi ,Uku kucende kulemoneka kwati kuli kamana.,Eya efyo kulemoneka ifwile kwali mupepi nokobaleya ulu bemishe ifintu fyabo ,elo cilepala akasuba nakasela elyo balefwaya kuya kung'anda kwao.
8962,Imbwa shibili shilelwa elyo shili mumpanga.,"Imo naisuma iyinakwe, elo eyo basuma naitoloka noku punda umulandu wabukali ","Eya mukwai, elyo imbwa ishi shilemoneka shakalipa sana .","Maka maka isumine inankwe nomba apa shileangalila imwa, palemoneka kwati pa utufula twabuta panshi ","eya  mukwai, pantu kumubili yembwa ishi kulemoneka kwati kuli imfula shabuta nakwena."
8963,Akaiche kanakashi kalefwika umwaice wakako insapato.,Unwaice alemoneka alesela sana kwati talefwaya nangu limbi asapato Kanono?,efyo cilepala kwati akasapato kanono ecilelenga umwana ukulasela.,Uku bale fwikana insapato nimunganda kunuma yacipuna ,cilepala umo mung'anda emobekala aba baice.
8964,Abalumendo batatu nabekala panshi elyo bambi nabeminina .,Elo bonse balemoneka namatonto nkanyo bushe finishi fyabashupa ?,"balemoneka abacula,limbi baletontokanya pa mikalile yabo.",Eko bali infuntu nafipasangana limbi bali pama cushi icishinka  mweh,eya mukwai pantu ubucushi naufuula sana inshiku shino tulimo.
8965,Umukashana naikala panshi elyo alisha banjo .,Iyi banjo ambo kulisha bushe alefwaya ukwimba nangu alelisha fye?,cilepala kwati umukashana alaamba ukwimba. bushe finshi fimbi ulemonapo?,"Naposako amano kuli banjo yakwe, ifilemoneka fikumo kali light aka katali kumulu ","eya mukwai, elo kumimonekele cilepala ulwimbo bembile busuma sana."
8966,Akaiche kanakashi kalelya biscuit elyo keminine.,Iyi biscuit kalelya kalemoneka kali itemwa sana ,eya icho cishinka ukulingana nefyo kalemoneka pamenso. bushe kuti kafunya kwisa biscuit aka akaice?,"Ifi kumbali yakako kulemoneka kuli umuntu, afwile apokele kubafyashi bakwe ","Elyo cilepala kwati, abafyashi Bakwe batemwa sana ukukashitila ngabaya mu town."
8967,Umulumendo aleyangasha imbwa iyabuta mucibansa.,"Elo lulya aleangasha imbwa alepepa nafwaka ili kukanwa, bushe namumona ?","eya mukwai alepepa nafwaka, cilepala kwati uyu umulumendo alitemwa saana imbwa iyi. bushe finshi fimbi ulemonapo?",Apa bali nembwa yakwe pa kapinga elo kunuma yabo kuli nganda yabuta  ikulu sana.,"Eya mukwai, elyo cilepala iyi imbwa ikashi ukumonela kumala yakwe."
8968,Bashitata nabekala baletinika computer mu office .,Naba posako amano kufyo balecita pamenso naba kaka noku kaka ,bushe ba taata aba balemoneka abatemwa inchito nangu iyo?,Balitemwa incito yabo sana ifi baposeleko amano ngatabalei temwa ngabaca cita fimbi,"Eya mukwai, pantu cilepala bashitata aba balesenda impiya shingi uku babomba."
8969,"Abalumendo babili bali mucibansa ,elyo bamo cilepala baleponya akabola.","Nabafwala ifyakufwala fimo fine, efyo bafwile ukufwala kumangalo yabo ",bushe yalemoneka mangalo nshi aya?,Mangalo ya baseball aya kumwenafye kufo bafwele nefili kumaboko yabo ifima glove ifyafita ,"Eya mukwai, elyo cilepala abantu balitemwa sana ukutamba amangalo aya."
8970,Bashitata nabekata ukuboko kwa akaiche elyo kanyantile pa skate board.,"Apa kali nakalila umusowa, bushe ninshi kalelila?",aka akaice nakomfwa umwenso saana. bushe ninshi akaice konfwilile umwenso?,Kuti yaba takaishiba ukuba pa skateboard nomba bacika sunka sana elo kaumfwa umwenso ,"Eya mukwai, cilepala kasambililefye lino line ukuyensha skate board iyi ine."
8971,Abalumendo babili nabeminina elyo bali pa kanshila kali pamenshi.,Uku babali kusuma sana amenshi namakumbi filemoneka fimo fine ,"elyo kabili cilemoneka kwati nabatemwa saana ukutamba umumana,",Ukuleambila ka bridge kuli ubwato ushilesela nabaikaka ,"Bashikaka, limbi kuti shaselela kumo pantu amenshi aya yalesela."
8972,Abalumendo bali four bekele elyo pantashi yabo pali amabuku yapusana-pusana.,Amabuku aya yengi sana  bushe mabuku yamusangonshi baleshitisha abalumendo aba?,aya amabuku nayafula saana teti twishibe nga mabuku nshi. bushe cilepala kwati baleshitisha?,Eya ifi babikile kutantamika uku ukuti yashitishiwe aya ,Elyo cilepala kwati amabuku aya ni yakusukulu. 
8973,Umulumendo naimanina elyo Ali na microphone ukuboko kwakwe.,"Pakwimba nafwala nakasote, elo ulualeimba akasuba nakabala sana fye",bushe uku aleimbila cilepala kwati nikwisa?,Uku ekoaleimbila cipalile niuku baya babantu mukusefya ,"eya mukwai, elyo kuli tumalaiti twapusana Pusana sana."
8974,"Abalumendo babili bali pa menshi, elo umo nakwata ifunti.",Umbi ushikwete infuti alemoneka aleipusha amaepusho yakubonfya ifuti ,bushe ifi fintu filepala kwati ninshi?,Fipalile kwati masambililo yanfuti kumenshi ukushili abantu abengi ukumona nangula ukucenwa ,"eya mukwai, amasambililo yamfuti yafwaika kuncende eko takuli abantu."
8975,Batata balelisha ifilimba beka mucikulwa.,Balemoneka balifi swata ifi fintu pantu balelisha naba lolesha nakumbi ,bushe cilepala kwati balelishisha banani?,"Cipalile balelishila, umuntu uleimbila pantu ici light icisanike kunuma ilingi ciba kufila ",cilepala pali ifintu balesefya uku bali  aba bantu.
8976,Umwaice mulumendo nalala eka pa bulo.,Ubulo asendemepo bwali buta sana elo kanono kabedi aka,bushe teti apone pabulo ubu ubunono?,"Aweh teti apone, kano ngala pilibuka ukushishiba ukulala bwino","eya mukwai, pantu nga apona, kwati aicena sana umwaice uyu."
8977,Bakashana babili bale teya amangalo ya tenesi.,"Ukumukashana uli kantanshi nafwala ka sketi akepi sana, filya bafwala abateya amangalo aya ","cilepala kwati abanakashi, balefwaika ukufwala utuma skirt pakuteya tennis.",Kunuma kuli batata abekele pakapuna baletambila mukati aikona kucintu bwingi.,"Cilepala abantu abengi, baumfwa bwino sana ukutamba amangalo ya tennis."
8978,Batata bamo nabeminina mupepi na mapilo ayengi.,"Elo ayama pillow yalemoneka kwati na balloon, elo nakafwat ifinso fyatu kadoli ",bushe cilepala kwati nikwisa uku bali?,Uku bali nimu town abantu abengi balepitana kumbi kumbali nabekala palemoneka kwati balelya,"Cilepala kwati iyi yine town mwaba fyakucitika sana, kumwenafye efyo abantu babela busy."
8979,Bamayo nabekala nabalela ne imbwa.,"Imbwa yabo yalina, yakwata nama color yabili pamubili waiko ",elyo kabili cilemoneka kwati balitemwa imbwa yabo. bushe nikwisa uku bali?,Bali panse pang'anda yabo kunuma kuli umusebo ubwakanya amayande yabo,Cilepala kwati aba banamayo balitemwa imbwa yabo iyi sanafye.
8980,Abalumendo naba kanshana nabekala bale isha.,"Aba bantu balemoneka ngabalya abepika, bushe ebo?",efyo cilemoneka pantu nemifwalile yabo eyilelondolola. nga iwe ulemonapo shani?,Cishinka ico apa bali epo bapikila ifyakulya fyabantu ,cilepala kwati ifyakulya fyabo fyaba Fisuma sana.
8981,Aba lumendo baleteya ubwangalo umwa rugby.,Umo nalala panshi nabola kumaboko lulya achuluka epo bafwile ukuchuluka ,bushe cilepala kwati niwisa uwinga wina aya amangalo?,"Uyu ulelonga ulele panshi mu insalu yabuta, uyu ewingawina","Eya mukwai , elyo cilepala epo alala pali line yakwingishapo bola."
8982,Umwana mulumendo naikala mu panga.,Umuekele mumpanga muli ifimuti ifikuli sana namabula panshi ,bushe tekuti musangwe afiswango ifinga mwipaya?,"Umu mwena kuti fyasangwa umulandu amabula yengi, nensoka kuti yafisama panshi kwabula ukuimona.","cisuma sana kuba wasalapuka Mumano, pantu teti uimone insoka ngauleyafye filya,filya."
8983,Mulumendo ale tolokela mumenshi nomu nakwe ali mumenshi.,Apa aletolokela palemweneka kwati kabwato ka plastic ,elyo kabili cilepala kwati nabatemwa ukusangwa mu menshi,Sana kabili nakukaba iyi nshita amenshi yalomfwika bwino eco abengi belila,"elyo cilemoneka kwati nabasansamuka sana ukusamba mumenshi,elyo nakukaba."
8984,Aba lumendo babili nabeminina mupili.,Mumapili umu bemekene muli akasuba nenfula yabuta pamukumo,bushe cilepala kwati balecita inshi?,Cipalile balefwaya uku laenda muma pili  nokwishiba ifyabamo,"Eya mukwai, elyo mumapili ayengi musangwa ifipaso fyapusana-pusana nomunani."
8985,Abalumendo bale teya umwangalo bwa basiket ball.,Umulumendo umo uwafita nakwata bola mumaboko aleitanusha lulya alebutuka ,elyo kabili cilepala kwati alishibisha ukuteya,Eyfo chapala pantu efyo ekete bola iyi  nokusunka ukutila bemupoka ali shiba sana,"eya mukwai, elyo abantu abengi beshibishisha ukuteya basket ball bapanga impiya sana kubasungu."
8986,Mulumendo aleshelela eka mwili loba lwamutu.,Nafwala nefyaku fwala fyakaba ukuti elwala impepo ,bushe cilepala kwati nikwisa uku ali?,Uku ali nkumapili ayakwete infula yabuta eko ale shelela bwino,Infula shabuta abengi balitemwa ukuyangalilamo amangalo yapusanapusana.
8987,Abaice baleyenda pamusebo ne ijinga.,Umo alesunka kuntanshi umbi naikala pamulu aleumfwa amanone ,bushe finshi fimbi ulemonapo pacikope ici?,Kunuma kwabaice abalecofa injinga kuli akayanda akalamba ne honda ili palubansa,Cilepala kwati Ilya Honda abene bali mung'anda .
8988,Abaice abakashana babili baleyangala namakasa.,Nabemya namaboko mumulu makamaka uyu umukalamba ,bushe cilepala kwati nikwisa uku bali?,Uku bali nipalubansa kunuma yanganda bekalamo ekwa kwangalila ,palubansa apa palemoneka wino sana ukwangalilapo amangalo yapusana-pusana.
8989,Abakashana babili bali nefyola pamusebo,Apa bali umushili naubomba bushe yachaloka?,cilepala yaciloka ukumonafye kumulu eko kwaba.,Uku bali aba babili kupalile kwati baleya mukwela  indeke nangula eko bafumama,"Cilepala kwati nabafuma kutali sana, nomba baleya kumayanda yabo."
