IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2951,umwana umwaiche kulumu ala naseka uluseko ulukalamba sana,Cipalile kwati Pali abalemu sekesha Sana umwana pakutila aseke umusango uyu,umwaiche uyu nalangisha Sana na utumeno twakwe utwabuta,Naciwama ali nensansa pantu cila wama umwana ngali uwa nsansa ukucila alemonekafye uwa fuka fuka,alikulumu nafwala na ifyakufwala ifyakulalilamo kwati elo achibuka
2952,abantu abengi nganshi mumu sebo bale enda elo nabakwata imendela iya Ku calo ca america,cipalile kwati aba abantu bale ilishanya Pali fimo efyo taba sekelemo eca lenga bese pamo ngefi,Aba abantu abengi naba fwala ne fyakufwala ifyapusanapusana paku shunguluka umusebo,Elo nimbonapo banina no mwana muli pulemu.  katwishi nga cili ica suminishiwa ukwensha umwana mu ncende yaso,aba Bantu cipalile kwati Pali imbila bakwete eyo balefwaya ichalo chibomfwe sana
2953,Bana mayo babili mwi lumu belebomba ichito iya kupikula pikula nakotoni,cipalile kwati aba bana mayo bale panga ifisote fyamu mpepo ifyaba kulu,Umo namyo nalolesha Sana napanshi naposeshako Sana amano mufyo alechita,Limbi ale umfwa insoni ukumu kopa olo ale fisa icinso cakwe mukukana kopwa,uyu umbi namayo ena nasekelela Sana kuba lemukopa ichikope
2954,bashi Tata babili bale butaka ulubilo mumu sebo umufwile ukupita bamotoka,"Katwishi ngabale pepekana, pali efyo bale pepeka olo bale butukafye ulu bilo",aba ba shitata nabafwala na ifyakufwala ifyapalana,cipalile kwati ma soja ayale butuka ulubilo kaili ababantu bafwile baba aba anguka nemibili shabo,elo Pali aba bashita umo nabutukisha Sana ukuchila umunankwe uyo uwulemoneka uwa ina nganshi
2955,namayo umo nafwala ichakashika na iminina mupepi na pa chibumba,Elo nakwata nakaku lishishako utunyimbo eko ashintilishe pakubeya pantu eminine,uyu namayo chipalile kwati tamona iyo,Limbi Ni balya abalishako utuma nyimbo pamu sebo pakutila abantu abale pita babapelako impiya,elo nabika na umufuko watoekete muminwe panshi pa molu yakwe
2956,aba lumendo aba beleteya umupila uwakumakasa muchibansa chamupila,ndemona kwati baka teya bamu pila aba fwele ifya kashika ebene baci bansa pantu ifi puna ifya kwikalapo abaku tamba umupila fili ifya pentwa ngefyakufwala bafwele,umu muchibansa muli abantu abengi abalekanalekana abaletamba uyu umupila,elo bashi tata eba fulile pabale tamba. Nshimwenepo umu lumendo nangu namayo pabale tamba umupila,Pali bakateya bamupila aba fwele ifya buta umo nalangisha inabala yekwe panuma
2957,abana abanono akanakashi nakaume nabekala chapapamo kumo kunchende,cipalile kwati Pali ifyo bale tamba kuntanshi yabo nangu Pali efyo bale lolela,uku kunchende kulemoneka kwati Kuli abantu abengi sana,ehe bengi abantu. Ndemona kwati aba abaiche bali nabakulu abekele kumbali ya mwaiche umo abafwele ica kashika,chipalile kwati umufyashi wabo umo nafwala ichabutuluka pambali yabo
2958,uyu umulumendo wachikalamba mukaputula alikuncende kumo ukupalile kwati niku chipatala,Ndemona kwati aba kashana Pali efyo bale shitisha elo umulumendo afuma muku mona efyo abakashana bakwete,uku kunchende Kuli abantu abengi abalekanalekana nga Bana mayo naba shitata,Limbi bushiku bwa makwebo,aba Bantu kwati ba bomfi ba mu chipatala abalepelako umuti kubantu kumo kunchdnde
2959,abakashana abengi Bali kunchende eko baleteya ubwangalo bwamunsapato shamawilo,Bambi aba kashana bekelefye bale tamba abale caya ubwangalo bwama wilo elo bambi nabe mininafye,Pali aba abakashana Bambi nafwala utu Shati na utu putula utwafita elo Bambi utwa kashika,limbi tabula tampa ubwangalo. Abakashana abafwele ifya fita bale pitamofye pakuti bayi pekanye kubwangalo bala amba ukuteya,ubu ubwangalo buli naba kangalila babili aba fwele ifya balalabala
2960,abakashana babili nabemakana ifyapala pa musebo umo nafwala Nama galashi,Elyo umo umukashana aloleshe uko bale kopa elo umo napela ica numa katwishi nganinsoni olo talefwaya ukumukopako,chipalile kwati aba abashana belelola motoka iyakubasenda nagula fimo,Olo limbi bafuma nangu baleya ku shopu muku shitako fimo fimo ifinga fwaika ukulonga mufyola bakwete,aba abakashana bonse naba kobeka no tufyola twabanamayo mu mama beya
