IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
7701,imbwa shibili shilebutuka mu cani,kuli mbwa ikulu naka nõno,icani ca katapa-katapa mumbali mulinakamana,panshi pambi takuli cani,pa cani pali ne fimuti
7702,na mayo alelya eka,cilemoneka kwati Ali mu ng'anda ya malilo,kulubali yakwe kuli aka mupando ta pali umuntu,nafwala ishati ya mutuntula ne cisote icalembwapo pa ntashi,kutali lutwe kuli bakashana balelya no kwisha
7703,ibumba lya bakashana lileimba,bonse naba fwala fya palana,ama shati ba fwele yali kashika,ifya kunshi fyali fita,ndetontokanya aba baomba ya chalici
7704,umukashana ali ne nsansa,nafwala ishati yafituluka,pa shati yakwe pali pumi ya Kwa Barack Obama,kulubali yakwe kulemoneka imishishi sha muntu umbi,ku numa yakwe kulemoneka inyali
7705,ibumba lya bantu lileisha mu musebo,umulumendo na kwata ibotolo ya cakunwa,mukashana umo mupepi nankwe alecita fimo,umukashana umo Ali ne nsansa,kulemoneka kwati kuli ifilecitika pa cende apa
7706,umulumendo Ali pa ncinga mu muku,nafwala itoloshi ya fita,ishati yakwe ya makumbi makumbi,ku muku kuli bundama,mu lumendo Ali mu muku me ncinga
7707,umulumendo ale kambatika imotoka ya menshi,nafwala ishati ya buta ne toloshi ya makumbi makumbi,panshi mupepi yakwe kuli isaka,amenshi Yalefuma mu motoka ale kambatika,Kutali mpela kuli imotoka shitatu ne ng'anda
7708,imbwa shibili shili mu menshi makasa,mbwa inono yali fita elo ile'enda,iyi kulu yali buta elo naikala pashi,ku numa ya mbwa kuli ing'anda,Kutali lutwe ku lemoneka ifimuti
7709,ibumba lya bantu Ili mu musebo,abalumendo basano ni bakemba,ibumba lya ba kemba ililisha ng'oma mu musebo,elo abantu baletamba,ku mpela kuli ifimuti
7710,umulumendo alenina cimuti ne ncinga,imishishi nashimufimba ku mpumi,icimuti cilemoneka ica papatalala,panshi pali cani,elo naku fita
7711,abalumendo babili naba iminina mupepi ne fishala,umu aleposa ifiko nimu cishala,umo aleisala itamba ya cishala,kulubali yabo kulemoneka Imotoka,apa Bali mu lubali ya nshila mu musebo
7712,umulumendo na imya akanya mu maboko,akanya kale lila saana,mu lumendo ale nyota  isaya ya kanya,cilemoneka kwati ale fwaya ukumu katalika,nde tontokanya aba niba wishi 
7713,mu kaashana ale yangala mupila,nafwala ishati ya makumbi makumbi na kaputula ya fita,nde tontokanya kuli cangalo CA mupila,panshi ale nyanta pali cani,insapato shali kashika kunshi
7714,umulumendo Ali mu bwato na ikala,na kwata ilamya ukuboko,nafwala ishati ya mishila,"umulumendo Ali Ina,Ali kwata nolufumo",ubwato ubu bwakale
7715,lupwa uli panse,"pali ba nyina,ba wishi no bwana",akanya kale lolesha ba wishi,ba nyina naba wishi bali ne nsansa,panse Bali kuli fimuti na cani
7716,abaiche bale yangala mupila,bambi naba fwala fya makumbi makumbi,bambi ifya kashika,umwaiche umo ale butuka,abaiche babili Bali ku numa kwaku nyishila umupila
7717,aba lumendo bale yangala,umo ali pa ka shimbi,babili naba iminina bale lanshanya,umo ale'enda mu nshila,umo ale'enda pa cani
7718,umwana Ali mu lubali ya mumana,ale posa amabwe mu menshi,naka fwala ishati ya makumbi makumbi,pa muku pali ubulalo,"mu lubali ya mumana kuli icani,elo kutali mpela kuli ma lupili"
7719,umulumendo Ali ku mumana eka,na fwala ishati ya buta,ku numa yakwe mwitumba muli icintu,cilemoneka kwati Ali muma tontokanyo,"ku mpela ya mumana kuli fimuti,icani na mayanda"
7720,ibumba lya bakashana Ile shana,bonse naba fwala fya palana,iyi ibumba lya bakashana baita ati ntungulushi yaba sansamusha,ba kashana babili naba ba imya kuli aba nabo,aba shala bonse bali panshi bale lolesha
7721,ibumba lya bantu ile cindika mu musebo,umulumendo umo tafwele Ishati,nafwala aka tambo ka maluba mu mukoshi,umulumendo uli ku numa nafwala ishati ya makumbi makumbi,cilemoneka kwati ibumba lya bantu na imya ama bindera
7722,umulumendo na fukama panshi,nafwala ichisote caku cingilila umutwe,no kuboko nakwena nafwala Ica kumu cingilila,nafwala ishati ya Kashika ne toloshi ya buta,ku lubali yakwe kuli umulumendo umbi
7723,ibumba lya ba lumendo Ili mu musebo,cilemoneka kwati bale imba,bonse naba fwala utu salu tea Kashika ukuboko,batatu naba imya amaboko ku muku,umo na bika amaboko yakwe ku numa
7724,mu lumendo ale'enda mu nshila eka,nafwala ishati ya buta ne toloshi ya fita,na imya umufuko ukuboko,insapato shakwe Shali fita noku Kashika,kulubali ya nshila kuli ama lata
7725,abaiche naba iminina panse ya ng'anda,tule lolesha ifili pa cipepa ku cibumba,akanya kamo kale esha ukwi kata icipepa ,pa cipepa kuli mwanakashi ale toloka,icipepa Ici CA bukwebo
7726,aba lumendo batatu bale imba,mu lumendo umo ale lisha banjo ya kashika,umulumendo umbi ale lisha ing'oma,umbi ku mpela ale lisha Ica palana na banjo ,iyi ibumba lya ba kemba
7727,umuntu Ali mu muku na ikatila ku ci mbaya mbaya,ici tukutuku Ca makumbi makumbi no kufita,nafwala Ica fita ne CA fituluka,kulubali yakwe kuli ing'anda,ku muku kuli bundama bwa mfula
7728,Caso isha buta shili mu menshi,kulubali ya mumana kuli amabwe,Caso ishi shila pupuka,Caso imo Ile lolesha inakwe,imbi Ile lolesha mu menshi
7729,abakashana babili bale lya,apa pali ne lyashi,ba ne nsansa  ,pa tebulo pali umukate ne mbale,umukashana umo nakwata nkomaki
7730,mukashana na iminina pa shila,cilemoneka kwati alelola istima,nafwala itoloshi ne shati ya fita ne sapanto ishi tali,nakwata umufuko,ukuboko na imya umbrella
