IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
751,Ndemona ba kateya wamupila wakumaboko muchibansa ichikulu nganshi.,"Ubu ubwangalo bwitwa ati rugby, elo nabalumendo batatu nabatoloka bali pamwela.",Umo nafwala icakufwala ica fita elo umbi nafwala icakufwala ica kashika.,Elo uyo uufwele ishati ilya kashika napelembwa ikumi na cine konse konse ,Elo Pali abantu abengi abale tamba umupila wakuminwe muchibansa ici.
752,Umulumendo naikala paci libwe icikulu nganshi,Kaili nakunuma kumwakwe kuli amabwe iyakulu  sana,"Uyu umulumendo, alemoneka ukuchepa pamulandu iya amabwe uku kula nganshi","Elo nakunuma kumwakwe kuli imiti, ilelangilila ati alemumpanga uyu muntu",Elo pamulu pamutwe iya umulumendo uyu pali akamuti akatali akanono.
753,Ndemona shitata naikata akamuti noouboko kwakwe,Uyu shitata ali nembwa elo aleposa akamuti akali mukuboko ,Shitata na sangalala elyo ale posela imbwa ikamuti ikanono,Kaili uyu shitata nembwa yakwe bali kumpanga eko bale angalila,Tapali abantu Bambi ukufumyako shitata nembwa yakwe
754,Abana abanono baleteya bola muchibansa ichikulu.,"Kaili aba abana abanono nabafwala ama shati iyabuta elo, bambi bafwele ayami laini ",Umo pali aba abana abanono alepanta bola elo kuli ulemu pepeka.,"Kaili nakalisha wa wisilo alifye umwana umunono, nankwe nafwala na sikipa iyabuta ",Elo bonse abana abanono balelolesha bola imo ine.
755,Namayo umo naba shitata batatu Bali pali inchende imo mukwai.,Kaili nenchende baliko kuli ifilimba ifyapusanpusana  ,kanshi umo umulumendo ale lisha akalimba kwake,"Kainge namayo uli kukoso, naikalako napacinto ica kashika kashika naimya namaboko.",Umbi umulumendo na fukama panshi elo ale pepa neminwe shakwe naimya mumulu
756,abaiche abengi bale butuka mumpepo,Chilemoneka kwati aba abaice bale angala ubwangalo bwakubutuka ulubilo,Elo pambali epo abaiche bale butukila pali abantu abale lumba abaiche,"Aba abantu abalelumba, balebabikamo ichimwela ,efyo ulu ulubilo lulemonekafye alwakakata",Elo iyinchende abaiche bale butukilamo naikwatisha Sana impepo kaili bonse abantu naba fwala ifya kaba
757,Ndemona ichisalu ici kulu ica kashika elo paba imbi insalu pali ichisalu ici kulu,"Ici ichisalu chilemoneka kwati nimbwa yamunga'anda ikwata amasako ayengi, nailalako napanshi.",Emukwai ichi salu chilemoneka kwati nimwa. Ndemona na tebulo pambali.,Nakumbali ya tebulo kulemoneka insalu iyabuta iyabusaka,Elo ichisalu ichi kulu cile moneka icabula ukufina
758,Umulunendo ufwele akasote nafyakunatwi naikata icaku kopa," uyu umusungu umulumendo, naisalako nelinso limo ilyo alekopa",Uyu mulunendo umungeleshi nakwata inchito iyakukopa ifintu,"Nefintu efyo alekopa tafishibike mukwai, fili afyafisama.",Elo kumbali kuli mulunendo uwa kashika kuli umuntu ushile moneka bwino sana
759,Ndemona namayo ale enda muli akamana aka kwete namabwe muli kena,"Uyu namayo alemonakwati afumu ukusamba nefyakufwala, pantu alemonekafye uwabomba",Ndemona amenshi ayali kunuma iya  umwanakashi,"Aya menshi yalefuma kumulu, elo yaleponena panshi epo banamayo babibli balesambila",Ndemona umwana Kashi kunuma iya umwana Kashi uli pantanshi.
760,Imyotoka shili mumusebo elo nashi butukisha,"Ishi imyotoka shilefumya nechushi ica buta, kaili shilechinfyanya mubwangalo bwa myotoka",Elo kuli abantu abengi abale tamba ishi imyotoka ishilechimfyanya,"Naba abantu tabalemoneka, ifilemoneka fye fyakufwala bwafwele ifyakashika bambi ifyabuta","Imyotoka shilebutuka, tashile endela mu umusebo umo, elo nashikwata ama taela aya nono"
