IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
5701,Ibumba lyaba kachofa Bama chinga ,Bali mubwangalo bwakunchimfyanya pamachinga,chila umo nafwala ukulingana na imifwalile Yaba kachofa Bama chinga abali pakuchimfyanya,"Imifwalileyabo isanshilepo utusote, amakalashi yamu menso, utuputula, amashati ukulundapo na insapato",Bonse mumi chofele yabo  na bemanina pamo nga balya abaleninika umulundu
5702,Abana Baume babili bale yangasha ichinga ngabalya abale lungisha,Inchinga yabo inono ukulingana na imyaka shabo pamo nga abana banono,ichinga naba ipilamula umupindo walola panshi elyo ama taila  mumulu,Bale afwana mukulwisha ukushingulusha ama pendulo na utusokolo twa chinga,bale yesha namaka ukuchofa ichinga na iminwe shabo
5703,Abasungu babili abacilumendo baleteya ubwangalo,Bushe bwangalo nshi baleteya?,Bulemoneka nga  ubwangalo bwaku posa  umusela pakulwisha ukuntonta pamo,"Nangula  abeteya bali babilli, cilepala umo alingile aposa  umusela cilya umubiye ale lola",Ubu bwangalo mulemoneka nga bumo ubwakuteyela muchibansa  ichili na ichani pamo na iloba
5704,Kanina wampili  ale lwisha ukunina ulupili,Lelo pakuti Epona alebonfya intambo ,Intambo naikakila kumubinde wamumu saana,Bushe mukashana nangula mulumendo?,"ukuba  uyu muntu teshibikwe bwino bwino, utusafu mumaboko yakwe tule moneka nga utwa mulumendo, lelo  umubili uli  wa cheepa nga uwa mukashana"
5705,Ba kateya wamupila uwa chisungu ,Bakateya babili balelanshyanya libe icintubwingi  cile tamba impila ine,Icibansa chamupila nacisula na cinkupiti wabantu,icintu bwingi ciletota na ukulumba,icinefye icibansa nachisula na insansa na ichiunda
5706,umukashana ale enda ,Alemoneka wasekelela elyo aleenda,"nangula  Ali  munchintubwingi, insansa shake nashilembwa pa cinsocakwe",cilemoneka nasendwa na amatontokanyo ilyo ale enda,muminwe yakwe nalema ifintu  efyo akatilile bwino bwino
5707,umulumendo naimya utulubi utwalekana lekana,utulubi tulemoneka utwapompwamo na umwela,"ico tuli utwapompwa na umwela, tuli utwa pepuka kabili tule elela pamulu wa mutwe wamulumendo",Awe abantu pamusebo baletamba efilubi elyo umulumendo elepita,cilepala uyu mulumendo alipa makwebo yakushitisha ifilubi
5708,Banyina na bemya umwana umwanakashi baleyangala kumumana,imifwalile yabo ipalilile nga iyamulusuba,bonse babili balemoneka kwati Bali Pali chuti ,"ico ninshita yalusuba, abengi abekala mushi nabaya mukwisha na ukwangala kumumana",Banyina bafwele Ilaya Ilya fitulukila elyo umwana ilyakashika
5709,shitata naimanina kuntanshi yebuumba aleshimikila,ibuumba lyamusonkano lilekutika ,muli uyu umusonkano muli  bashitata naba namayo,Pa musonkano wine Pali naba kakopa babunkolanya,umusonkano ubelele panse  yacikulwa apalemoneka motoka ili mwisamba lyacimuti
5710,umulumendo naimanina Pali cimashini,Nafwala ishati Ilya makumbi makumbi elyo munuma yakwe napapa ichola ichafita,cimashini cilemoneka kwati citunshitunshi,Aletinika iminwe shakwe pamabatani yaci machine.,Ndemona uyu mulumendo Ali pachende batuminapo ama foni muchitesheni ca ma saacha
