IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
11701,Umwaume na umwanakashi ababuta inkanda nabekala panse. ,Iyi incende baliko nincende iyakushitako ifyakulya na ifyakunwa ifili nga amakabe. ,Kulemoneka kwati kulesa abantu abalekana lekana kuli iyi incende. ,Kumonafye incinga shonse shilya ishili mwisamba lya cimuti. ,Aba abantu bafwile fibusa atemwa abantu abatemwana sana. 
11702,Umulumendo uwabuuta inkanda naiminina mwi tuuka nafwala na akasote akakashika. ,Alemoneka uwasunguka saana pa cinso. ,Nga kalya akabuuta ako akwete mu cisote ni kanshi? ,Nalimo cilembelo ico aleenda naco ukuti abomfye nga afwaya. ,"Inshila abantu basendelamo ifintu, kuti waseka limo. "
11703,Abaume babili naneminina mumbali ya musebo balelanshanya,Nga ici icicuumba ica makumbi makumbi icili mupeepi napo beminine?,Ifi ifibumba ilingiline filabomfeshiwa muncende umo balekuula ifikuulwa. ,Apapene bali ni mupeepi na umusumba uukalamba uulemonekela ku fikuulwa ifikalamba ifili ku numa yabo. ,"Bambi nabo icakuti bamone ukufunguluka ukulecitika, bena bamonapo apakulembaula. "
11704,Abakashana babili na umulumendo umo ababuta inkanda baleangala na insapato ishakwata imipeto kunshi.,Bushe ishi insapato bashibomfya kwisa?,Shilabomfeshiwa mukucimfyanya ukwensha ulubilo nango mukwangalafye.,Aba abantu balemoneka kwati beele mukwangala.,Iyi ilaba ninshita iisuma sana.
11705,Ibumba lya bantu lilecilikana ukucofa incinga elyo bambi baletamba.,Aba abantu balacofa incinga intamfu iitali.,Amacinga yabo yalipusanaka na amacinga ayabomfya abantu cilabushiku.,Abantu nabeminina mumbali yamo balepita ukwisa mukutamba.,Abalecimfyanya balepitafye mumusumba.
11706,Umwaume umo alekwela ulupili na ifyakufwala ifyakukwelela impili.,Iyi ilemoneka nga inshita iya lusuba pantu konse kulemoneka ukwauma.,Nalimo imfula iyabuuta tayawa fye pa nshita iitali.,Uyu umuntu nasenda ifyakumwafwa ukunina impili.,Fimo alongele mu chola elyo inkonto shena emishefye ku minwe.
11707,Umwana umukashana naiminina pa lubao ulwa shintwa mu cimuti.,Ici icimuti cali uma elyo balicitemaula.,Iyi incende kulemoneka ifimuti ifyauma ififngi.,Nalimo baliitema pakuti bengalaibomfya mukwangalilako na ukucitilako fimbi ifintu bengafwaya.,Kuti caba ifyo fine pantu kuli abantu abengi mumayanda pamo na imyotoka shabo.
11708,Umwaume uwabuta inkanda alekopa ifikope pali lamya yakwe na imbwa yakwe pa mbali.,"Bushe uyu umuntu, nikwisa uku alekopela ifikope?",Nalimo ali pa ng'anda apo bawamya sana babika na ifyakuwamya incende.,Balibika ifimumbwa ifilemoneka kwati lisabi lileibila na ukwabuka mumushili nga mumenshi.,Awe kwena ababumbile ifif balicenjela icine cine.
11709,Ibumba lya ba namayo  na abana abanakashi bali ku mumana.,Bamo nabekala mumenshi elyo bambi baleitila amenshi pa mubili.,Bonse nabafwala ifyakufwala filya ifyaseka kuli ba namayo aba ku calo ca ku India.,Amenshi ya muli uyu mumana tayalemoneka akayelangama. Nayafundauka sana.,Limbi kufula kwa bantu ekulengele amenshi ukufundauka. Abene tabalemoneka kwati naba sakamana sana.
11710,Umwaume na umwana umwanakashi nabeminina mu ncende iilemoneka nga ifyuulu.,Aba balemoneka kwati ni ba wishi na umwana wabo.,Uyu umwana alemoneka kwati nanaka sana.,"Kuti anaka nga cakuti beshile balenina ifi ifyuula, nampo nga ni mpili.",Iyi ninshita iibomfeshiwa ukukosha icitemwiko na icibusa icaba pa bafyashi na abana babo.
11711,Umwana umulumendo naikala panshi na akakwangasha kakwe mu minwe.,Bushe umu ni mu ng'anda ali atemwa ali panse?,Kwena mulemoneka nga mu ng'anda nangula iyi ni ng'anda ya bantu abashakwatisha icuma.,Kwena talemoneka nga umwana uwafuma ku cuuma lelo alemoneka nga uuli mu bumi busuma.,Ilingiline abafyashi balatulukusha ukusunga abana babo nangu bengasangwa ukuti ifintu nafishupa sana.
11712,Imbwa iletoloka ifyakucilinginya ifibikilwe ku ntanshi yaiko.,Bushe iyi imbwa ileangalafye nangu ilecimfyanya na imbwa shibiye?,Iyi imbwa ilemoneka nga shilya imbwa ishakansiwa ukucita ifyalekana lekana mukucimfyanya na imbwa shimbi.,Na incende iliko kulemoneka igintu ifingi ifyapangilwa ukwesha ifyo imbwa shakanshiwa.,"Shilacita ifintu ifingi elyo nga shacimfya, kulaba ukusefya sana kwati fye bantu."
11713,Ba namayo babili bali pa ncende iyakulolelelapo ama sacha.,Umo namayo naikala elyo umbi naiminina. Bushe bulendo bwa kwisa batolele?,Katwishi nga elyo bafuma ku ncito nangu limbi elyo baleya. Uyu umo namayo uwiminine nafwala ifyakufwala ifilemoneka kwati fyaku ncito.,Umubiye nao nashinta na mu nshiku. Limbi amafya ayamubwikalo eyamupesesha amano.,"Kunuma nako kuli abantu bambi abaleyendela, nabo nabapikintika na amapange yabo."
11714,Abaume babibili ababuta inkanda bali mu cimbayambaya.,Bushe ni kwisa balolele aba abantu?,"Ukulingana na ifyakufwala bafwele, balemoneka nga abalolele ku milimo iyakosa sana.",Ici icimpompo cilelanga abalebomba mumilimo iyakosa iyapala iyakukupanga ifikuulwa.,Balemoneka kwati nabasansamuka sana. Bafwile baliitemwa sana imilimo yabo.
11715,Umukashana uwabuta inkanda ali mwituuka ilyakushitamo ifyakulya.,Kunuma yakwe kuli umulumendo uwabuuta inkanda nao uwishile mukushita ifyakulya.,Aya amatuuka balapekanisha limo ifyakulya ilingiline pakuti uulefwaya aisa ashita mukwangufyanya.,Kunuma kulemoneka uluunga ulwa calo ca Canada.,Nalimo ekwaba ili ituuka nangula abene ecalo bafumako.
11716,Umwaume uwabuta inkanda aleenda mumusebo.,Ifi ifyakulya afweele fyakufwala muma ofeshi.,Nasenda ichola ico alekulula pa musebo.,Kunuma yakwe kuli umbi umwaume uwabuuta inkanda uulekulula umwakuposa ifisoso.,Iyi incende ilemoneka nga incende iyibomfeshiwa nga ama ofeshi ya bantu abalekana lekana.
11717,Kabalwe umo uwamukuba mukuba natoloka.,Bushe nikwisa ali uyu kabalwe?,Alemoneka kwati ali ku ncende uko basungila  ba kabalwe mukasuba.,Incende ilemoneka iyashingwa na icakucingilila  ba kabalwe ukuti beya ukutali.,Icani na ifimuti ifili mupeepi filemoneka ifyalelema.
11718,Umwaume naikala pa cipuna panse alebelenga icitabo.,Uyu shikulu bantu ekele pa kapuna akabikwa panse.,Apa pakuti lilya ulebelenga ulepupwako na umwela.,Nangu kuti waya mukontelako akasuba nga nakutalala sana.,Balibika ifyakucingilisha ukuti umuntu ewila mu filindi ifyaba ku lubali lumo.
11719,Imbwa naitoloka mumwela ileangala na umupila.,Bushe iyi imbwa ileangala yeka nangu ili na abene.,Iyi imbwa ifwile ilangala na abene abaleiposela umupila elyo ileikata nangu ukutola.,Kuti wamona ati baliisunga bwino imbwa pantu naikwata na mumukoshi ifyakuishibilako nga yalilubile.,Bamo balabikapo na uku mwingatumina nga mwaisanga pakuti abene baisa mukuisenda.
11720,Ibumba ilya bantu abalekana imishinku bali mu ncende iyakwangalilamo.,Iyi incende emo baya mukuteya amangalo ayalekana lekana aya mukati ka fikuulwa.,"Bamo besa na abana babo, bambi nabo besafye beka.",Iyi ni ncende umo abantu besa mukwangala na ukukosha icibusa.,Mwaliba amangalo ayalekana lekana kanshi kuti waya teyako ifyalekana lekana pa muku umo.
11721,Umwaume uwabuta inkanda alebomba umulimo na icimbayambaya icikalamba.,Bushe mulimonshi cibomba ici cine icimbayambaya?,Ifi filabomfwshiwa mukukosha na ukutinta intamba ilyo shilebikwa.,Ninshi ici cilafwa ukucingilila abalebomba pantu icimbayambaya cilebomba ukucila umuntu ukwikata ishi intambo muminwe.,Uulebomfya ici icimbayambaya ena afwile aba uwishibishe ifyo alecita.
