IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
11451,abakashana babili nabekala panshi nabalema amakunda nabekata notupampampa muminwe,kunuma yabakashana nakwiminina naba shilika,kabili kunuma yaba shilika kuli chinkupiti wabantu,elyo kuli na ifikulwa ifitali ifyabuta,mumulu mulemoneka namakumbi kabili yalemoneka bwino
11452,umulumendo ali na umukashana balelya ifyakulya,umulumendo ena alifye ubwiminine naikata na umwele muminwe aleputula ifyakuputula,kumfwa umukashana naikalako pakamupando nalolesha noku lubali,patebulo pali namakapu yane ayama tambula,kunuma yamulumendo na umukashana kuli na ichikulwa icha ilangi lyabuta kabili bekalilefye mupepi na iwindo
11453,"abashilika babili nabanina pali bakabalwe, umo naikata na kabalwe kumukoshi",uku lubali nakwiminina na abaiche pali na inchinga,kunuma kuli na imyotoka ishingi,kuli nechikulwa iche langi lyabuta ichikalamba,kabili mupepi na ichimbaya mbaya icha ilangi lyamulopa mulopa panshi pali utufyani utunono
11454,umulumendo aleimba ulwimbo,pamulu wamutwe pali namalaiti aya pusana amalangi kabili nayaka nokwaka,umulumendo alemonekafye eka,kabili kunuma kulifye infifi,umulumendo nafwala nadalashi kabili namangula nebatani lyapa mukoshi
11455,chinkupiti wabantu nalongana mumuputule kabili abantu balifye ubwiminine,kabili mufulilefye banamayo abali pantanshi balemoneka kwati baleimba ulwimbo,banamayo babili pantanshi nabafwala namakoti yaba dokotala,mumbali yachikulwa muli bashitata umo umo lelo balemonekala apatali,kufibumba kuli nefipampa fyama dekoleshoni
11456,umukashana naletunga insalu nafwala na indeleshi yamulopa mulopa,pantu aletungila insalu palemoneka nefimuti eko apishishe intambo shakwe,kabili umukashana nakobeka nefikosa mumukoshi ifya fitulukila,nabika nama sikiyo mumatwi,kulya lubali kulemoneka umuntu uwikeleko nafwala neshati lyamilaini milaini
11457,akamwaiche akakashana kali muchikulwa chaba kalateka balekasambilisha ifya kulwa ulubuli,panshi pali umulumendo uufukemeko naikaka nechintu icho akakashana kalepantamo,kunuma kuli ichilubi ichafula ishati,kabili kunuma kuli nabantu abaletamba,mumuputule mulifye amalangi yama kumbi makumbi elyo na aya mulopa-mulopa
11458,abantu bali palibemba balesamba,pakati kabemba pali akachokololo apakwenda kabili kuntashi kulemoneka umuntu uuleenda,kuntashi kulemoneka nempili,uku lubali kuli ifimuti mupepi na abantu,umuntu umo pamenshi naikata nakumutwe
11459,umukashana ali mumpanga naikalako nalema namakunda,chilemoneka kwati umukashana alepepa kuli Lesa kabumba,naikalako palupili nafwala nakasote kapanchinga,kunuma yamukashana kulifye ifimuti fyeka fyeka,kabili naisala na amenso
11460,akamwaiche akakashana kalelemba pebuku,nakafwala na ichakufwala chamantoni-ntoni,kabili nakakwata na umushishi uutali uwafita,petebulo pali na pensulo ayali yane elyo imbi ili muminwe alelembelako,nakuchibumba kuli ifikope ifingi
