IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
6951,Abantu baleenda mumusebo na infula ileloka,pakwenda abantu nabafimbana inyanfuli ,banamayo babili bali munyafuli yafita nabekatana na pakwenda ,nakulubantu umo alifye eka nakwata na plastic kuminwe ,uku lubali kuli umulumendo  na umukashana  nabo nabekatana munyafuli yafita
6952,Akabungwe kabashitata na banamayo nabekala mumuputule ,ponse bekele mubali yetebulo nagbo abali pakusambilishanya,bonse nabakwata ifitabo na ifilembo  ifyo palebomfya ,namayao bali basano elyo bashitata balifye babili,kunumayabo kuli ichipampa icho ichikwete ifilembo
6953,umuntu naiyiminina pawinshi wachikulwa ,nafwala ifyakufwala ifye langi lya machunga ,ichikulwa chilemoneka nachikwata iminshi ishingi ngashi,umuntu uyu teshibikwe ngachakweba ati umulumendo nagula mukashana,ichikulwa chilemoneka kwati chakele sana
6954,umukashana ali mumulu naikakila kutambo ,Ali uwansasa nelyo ali mumulu ,ukuboko kumo naiyikata kutambo elyo kumo kuli mumulu,"nafwala ama galashi mumenso, chimpepo chafita,itoloahi lya makumbi-makumbi elyo na isapato  shabuta",kuntashi yakwe kulifye ifimuti ifyauma
6955,abakashana batatu nabafwala kwati ifilubi ,bonse nabakwata utupepala abo balembele ati nalikutemwa,kunuma yabo kuli chinkupiti wabantu ,bonse balifye abasansa elyo kabili nabmwentula,bonse batatu balemoneka abapalana kwati nibamunina
6956,imbwa naikala pakalupili,palupili panti ikele pali ifyani ,kabili kuli na ifimuti kumbali na panshi yalupili,Imbwa ikwete ilangi yabutulikila elo ili kwati palifintu ilelolesha,mumukoshi naiyikwata na umwando wafita
6957,ibuumba lyabantu nalikologana pamo,chili nishita ya bushiku pantu nakufita,umulu ulemoneka uwakashika kumula du wamalihiti yantu bashishe,abantu nabakwata utubotolo kuminwe umuli fintu balenwa,panchende pantu bali bali ifingi ifingi elyo na umulilo
6958,umuntu aleyangala muli mabwe makasa,"nafwala ichampepo iche langi lyakumbi makumbi,na ichisote kumutwe",kumolu nafwala ama skating pads ayo bafwala pakwangala mu mabwe makasa,kunuma kuli na impili isho ishifimbikwe na mabwe makasa,umuntu alemoneka alifye eka pantu takulemoneka abantu
6959,akabwa akanono kalebutuka mu mabwe makasa,Kali aka kakashikila mumimonekele nakakwata na amasako ayengi,aka akabwa nikalya basungila mu mumayanda yabantu,awe kwena nakatonkola ulubili nakamya na umuchila mumulu ,mulandu wamabwe makasa umulu ulemoneka uwatala nakufita noku fita
6960,Umwana aelyangala mumbali yamumana ukalamba,Ali nakontama elyo aleyamfula mumbali yamumana umo umuli na amenshi,Uyu mwana aleyangalafye ubwamba eicho tafwelepo nangucimo pamubili iyo,Pantanshi yapantu ali pali shitaata umo uyo ali na i horse pamenshi yabemba,Icicimana cikalamba eicho amenshi yalemoneka ukwikatana na amakumbi mulwelele
6961,Abana abanono basaano nabemanina panceende imo ifi,Ababaana balemoneka nga ababwananyina pantu ifinso fyabo nafipalana,Akalumendo kafwele icaketi ekakalamba elyo pakonkaAko kemanine kunuma yabo bonse ukwisafika nakuli kasuli uyo afweleleakashati aka milaini ishabuuta na isha kashika,Kwena utubana utu tonse natuchensa nama meeno yali panse ukufinishakofye akalumendo kamo kantu kafimfinkanike icinso,Apapanceede bemanine nipa nceende iya makule eicho kunuma yabana kuli icimbayambaya icikalamba icho ci lesesha iloba 
6962,Aba abalumendo babili baleteya umupila wa tennis,Naba kontanama bonse elyo amenso batontelefye pali kamupila,Umulumendo umo afwele akashati akabuuta apo apalembelwe naifilembo,Uyu umulumendo talemoneka onse iyo alemonekakofye amaboko ,akantamba baleteyelapo kapentwa makumbimakumbi elyo mucibansa muli abantu nabambi lelo tabalemone iyo
6963,Abalumendo bali mucibansa capamo bali basaano,Babili  nabekala ko panshi elyo umo ena nasendalalako ,Aba bambi babili balemoneka kofye icanuma umo afwele ishati ilya kashika na iciputula elyo umubiye tafwele ishati,Uyu alele panshi nakwata na akabotolomupepi napantu alele,Cilya asendeme panshi naikata kumutwe elyo amakasa yakwe tayakwete insapato iyo
6964,Shikulu bantu aleyensha kamashini pancito,Kamashi bakabofya ukwimya ifisendo ifya fina,Kali na icipotelo icikalamba icapentwa machungwamachungwa,Mupepi na uyu shikulu bantu pali naumbi shitaata uyo aleyensha kamanshini aka katapakatapa,Panceende apa pali ifimbayambaya ifingi ifyo fyonse ifilefwaikwa ukulongamo katundu iyalekanalekana
6965,Abana babili nabekala panshi baleyangala,Kamo nakaikaka kukulu ici pepala ica makumbi makumbi,Aka kalumendo kali akacebuka pamenso elyo nakemya na ukulu na amaboko mumulu,akabiye nako nakafutatila icanuma eicho icinso cakakwe tacilemoneka iyo,akabiye nakafwala insalu iya kashika panuma elyo na ilaya ilya makumbimakumbi muli na amantonintoni aya kashika
6966,Abalumendo basaano nabemanina apasansuka kuntanshi iyacikulwa ,Nabafwala amashati kumulu aya palana elyo nama toloshi aya nsalu iya jeans aya makumbimakumbi,Babili bafwele insapato isha buuta elyo umo isha kashika babili nabambi  isha fiita,Balemoneka balinga ubutali mufimo fyabo,Aba balumendo baba muka bungwe beta abati ba Scout ba ku caalo ca America
6967,Abana abanono baleyangala mulu bansa,Akalamba kale pepeka ako kalipo akaice,Pancende baleyangalilapo pali ulubansa ulwa maloba yekayeka,Kunuma yabana aba kuli imisakuta iya mayanda,Cilepala aba baana bana babalondo besabi nangula balunshi banama abo bekala mumisakuta
6968,Umukashana alebuutuka pali cimashini beta abati tread meal,Afwele akashati akabula amaboko aka makumbi makumbi,Mumatwi yakwe nabikamo akantu kakufwilako inyimbo cilya alebutuka,Pali tread meal yakwe nabikapo na ibotolo ilyamenshi pakwebati elenwamo cilya alebutuka,Uyu muputule muntu ali mulifye ifishimbi ifya ku gym fyekafyeka
6969,Bashimutekenya abamyotoka nabemanina balepoka ifilambu,Bali abalumendo babili abo abafwele ifyakufwala ifyapalana,Umo umulumendo pali aba ali naicimo icitali nganshi,Paliko na akakashana ako akemanine mupepi akafwele ifyabuta naka shiketi akepi,Aba bashitata babili bali abamwentula pamenso elyo bali nainsansa pafilambu bapokelela mukuncifyanya kwakubutusha imyotoka
6970,Shikulu bantu ali na umwana umukashana bale bomba pali mashini,Bonse babilili nabafwala amakashi mumenso lelo ayamwana yalemoneka yakalamba,Cilepala shikulubantu alelangilila umwana ifyakubomfya iyi mashini,Uyu mwana wacikashana afwele ishati ilya tubokoshi ilya kashika ,Pamo iyi mashini ilemoneka kwati yamu bucha wanama
6971,bashitata babili bali mumuputule wamalwa,"perebulo pali amabotolo yamalwa,elyo nama tabula",shikulubantu ali kunuma nashitilisha pe itebulo  elyo naikata ama boko yakwe yonse pamo,alemoneka ali mumatotokanyo,shikulubantu ali pantashi nasonta umunwe Kwati pali ebo alelanda nabo
6972,umukashana aleshana ,nafwala na ilaya iyikalamba elo ilitali ngashi,ilaya likwete ilangi lya buta elyo na umulopa mulopa,kumutwe nafwala ichitambala iche langi lyabuta,Ali uwa mwentula kabili uwa nsansa nelyo aleshana
6973,Abantu bali pa musebo baleenda ,pachende bali palemoneka kwati nipakati kamatuka ,"Pali aba bantu pali bashitata,banamayo elyo nabana abanono ",Pali na ba kemba wa nimbo abaimba,abantu bambi nabekala elyo bambi nabo nabemanina 
6974,Bashitata batatu bali pamusebo,Babili nabemanina elyo umo naikala pa chituku-tuku ,bonse batatu niba kapokola pantu bonse bali mu ma uniform yaba shili Ka,babili nabekatako namu tumba ya fya mpepo umo nafwala na galashi fyafitaq,kunuma yabo kauli sacha ili pamusebo elyo na ifikulwa 
6975,abaiche babili baleshitisha ifintu pamusebo,umo nafwala ichampepo cha mulopa-mulopa elyo umo afwele icha makumbi-makumbi ,bonse babili nabakwata umushishi utali ngashi,shikulubantu baleshitishako naikala mukati  ka sacha ,nafwala na ama galashi yafita mumenso
6976,umulumendo ale pyanga muchikulwa ,nafwala itoloshi lyafita na ishati lya makumbi-makumbi ,mumuputle muntu ale pyanga muli ifupuna nama tabulo,pafipuna tapali abantu abekelepo,panshi palemoneka pantu pa kosa ichakuti paku pyanga alebomfya amaka
6977,abana babili baleyangala mupili,Pali aba abana bali mumwaume elyo na umwanakashi,nabekatana iminwe pakutetemuka pa lupili,imipili shaping shapangwa na imichanga ishingi nganshi,abana balemineka balifya beka pantu takuli abalemonekela
6978,Ba kapokola babili bali pamusebo nabekata namutekenya wa chimbaya mbaya ,namutekenya ali mu chimbaya mbaya cahkwe nelyo alelandisha bakapokola,kunuma ya chimbaya mbaya cahkwe kuli ichituku tuku  cha bakapokola,bakapokola babili nabafwala ama uniform yabo ayo babiki utwa katapa-katapa pamulu,kulubsli lwa musebo kuli abantu abaleenda elyo kuli na ifikulwa
6979,ba kabalwe naba bakakila ku bwato ubo bale bonsa,mukati ka bwato muli abantu abekelemo,ubu bwato bale budonsa ukufuma mukamana,nabu kwata ama wilo kunshi ayo ayaleyafwilisha ukusela kwe bwato,kuli na bashitata abo abaleyafwa ukutungilila bakabalwe
6980,mumwana ali mumuputule wakwipikilamo,Petebulo pali imbale iyo alebikapo utuntu utli muminwe,kumutwe ali na umushishi uwafita uyo ufimbile papumi,kuminwe nakwata utuntu uto ale bika pabale,imbale yakwe naikawata utumishilo utulemoneka kwati batubikile pofye
6981,Abana baleyangala mumenshi pacimana,Tuli utulumendo tubili tatufwele na amashati ,Tulifye mumenshi na ifiputula,Kunuma yatu tulumendo tubili kulemoneka shitata nankwe tafwele ishati,Aba baana mukwangala umo alebala atapula amenshhi elyo alasansa umubiye uyo alebutuka
6982,Bakalisha wafilimba bale lisha ,"Abakalisha bali naifilimba ifyalekanalekana pamo nga ba banjo, ngoma na imitililo",Balelishisha muka musakuta ako akali apasansuka,Kunse yaka akasaka kuli abantu abo beshile mukumfwa kuli aba bakalisha wanfilimba,Pabaletamba pali inkonkotela shisano isho ishili pamo nga abakashi na abalume cilya baleshanina pamo
6983,Bakalisha wamitolilo babili naabekala mumbali yacibumba,Balelisha imitolilo yabo cilya bekeleko ,Umo afwele ka sweta aka katapatapa naitoloshi lya fiita elyo mubiye nankwe itoloshi ilyakashika na kasote kumutwe,Nangula shonse imitolilo balelisha shakuputamo umwela kwena shili ishapusana,Kunuma yapantu bekele kuli icikope icikalamba ica mulumendo uyo afwele ifyafiita elyo naikata namumusana
6984,Pakatemba naba tantikappo utunkolonkolo utwa kushitisha utwingi,Pali utuntu utwalekanalekana uto babikile petebulo ili mumbali yamusebo,"Pali utulengwa twa macinga, ifikope fyatulengwa, utusote utwa fiita elyo nautusote utwabutulukila",Pambali ukulubali pali na icilubi ico bafwikile ilaya lyamalubamaluba elyo na akasote kumutwe,Ici icilubi cilemonekafye kwati muntu uyo ekelko nangula ukwimanina
6985,Abakashana bale panga ubunkolanya bwa mangalo mucibansa,Bapilibauka mumangalo kwima amabaka na ukwimanina pamaboko elyo na amolu,bonse batatu naba fwala utuputula utwipi utwa makumbi makumbi pamo na utushati utwabula amaboko,Umo umukashana napilibuka amaboko iyekete panshi elyo amoluyakwe yali mumulu,Kunse yacibansa kuli abantu abo abeshile mukutamba elyo abafulilepo niba shitata
6986,Abatemwikwa bbabili nabekalako nabashintalishanya na ifipeyafyabo,Umwaume afwele akashati aka makumbi makumbi elyo umukashana afwele akashati aka mitoi mitoi,Balebelngapo akatabo kamo cilya bekelepamo,Nafutatila icanuma kulya lubali eicho ifinso fyabo tafilemoneka iyo,"Bekele mupepi na icibuumba apali ifilembo ifileti, ""Al gondolier""."
6987,Ibuumba lyaba namayo nabashitata nalimanina capamo,Nabakolongana capamo pakwebati bakopwe ifikope,Kuli umukashan uyo anine apasansunka pakwebati abakope bwinobwino,Aba bantu bali abasankana ngabo abafumine kufwalo na imitundu iya pusanapusana,Bemanine mupepi na umusebo ukalamba elyo mumbali naba paking'a mo na motoka
6988,Umuntu alimwi bala elyo libelele mumpanga,Naimani cilya ashintalile kukantamba ako akali na amolu yatatu,"Napunamina mumulu elyo afwele icampepo icakatapakatapa, itoloshi ilya makumbimakumbi na insapato",Icende nangula impanga emaninepo ili iya cingililwa na ulupango ulo lupitile mumbali,Panshi pamushili palemoneka pabuta ico pali imfula makasa 
6989,Umukasha aleikopa icinso cakwe,Kunumayakwe kuli abantu babili abao abalepita ,Abo abali kunumayakwe bafwele utushati utwa maboko ayepi utwa fiita,Uyu umukasha alina amenso ayalinga elyo inkopyo shakwe alebeya ,Imishishi shakwe shili ishitali eicho shilefika napa mapeya yakwe
6990,Bakanye kanye banina impili aleikila kulupili,Ali nantambo isho eketeko cilya aleya ale itulukaa panono panono,Ishimyando shibili shili ishitali elyo shifumine kumulu kuntu alefumina uyu shitata,Umwando umo uli uwamutuntula elyo umbi nao uwakashika,Aleituluka alelungama mucimana ico cilifye mumbali yalupili
6991,Namayo ale oba ubwato pacimana,Alina imbwa yakwe iyo ikele mubwato pamo nankwe,Imbwa pamo na namayo nabafwala ama life jacket,Namayo napunamina kuno lubali ali uwa censa na ukumwentula,Ubwato bwakwe buli ubwa muntuntula elyo buli ubwa fimbwa pamulu ukufunishakofye pantu ekele
