IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
5451,Abaice batatu balimumpanga kukamana  nefimuti mupanga filemoneka ifyakatapa katapa,Abaice batatu bali kumbali ya mumana na beminina,Abaiche babili nabeminina elo umo nakontamina pashi alepeta itoloshi nokukaka intambo shapansapato.,Abaice batatu bale lanshanya noku mwentula elo umo alelolesha icinshigwa cakwe mumenshi,Bonse abaice nabafwala amatoloshi nefyampepo. Umo umwaice uuloleshe panshi nafimba  icisote cakucampepo  kumutwe. 
5452,Ibumba lyabantu nalikala palunkoto kumbali yacikulwa icabuta elyo utuuni twabuta  natwikala pafishimbi ifili mupepi nabantu abekele.,Umulumendo nafukema palunkoto elyo alelanshanya na bakashana babili abekele pa lunkoto,umulumendo umufishi uufukeme nafwala ishati ilyabuta netoloshi lyafita nakupa necisalu kumutwe.,Kuli na balya bambi abaume abekele beka aba loleshe ku cikulwa icitali icabuta aba fwele neshati ilya makumbi makumbi  ,Umulumendo umo uufwele ishati lya makumbi makumbi naipatula pebumba ekele mupepi necimuti nafutata noku futata. 
5453,Umukashana uufwele icampempo ca makumbi makumbi alelolesha kumulu mucikope ica makumbi-makumbi ,"Kutanshi ya mukashana kuli umwana naikala, nabika ne botolo kukanwa",Umwana ali kuntanshi yamukashana nafwala icampepo icakashika. ,"Kuntanshi ya mukashana kuli ifimbaya-mbaya ifili fisano, ifyafita fibili, ica kashika cimo na icabuta cimo ","Kuntanshi yamukashana kuli ifikulwa fibili, na icinama ichakubumba ichikalamba elyo ichafita. "
5454,"Umukashana aba na umushishi uutali uwafita naiminina mu muputule mupepi ne ngolofwali alebelenga icitabo, afwele ishati ilyafita netoloshi lyafitulukila ",Kunuma ya mukashana kuli utupuna tubili ne cikope camaluba maluba pa cibumba icabuta,Kuntanshi yamukashana kuli akali tebulo akanoono elyo pamulu pali na ifitabo,Mulya mu mumuputulwa eminine umukashana na mubuta elyo kumbali kuli nakambi aka puna aka lepanga ica butatu ,Utupuna tuli mu muciputulwa natukwata utushimbi mumbali elyo munshimbi yatupuna tubili namupita insalu iyafita  pakati 
5455,Ing'ombe yafulula shitata panshi mucibansa. Shitata naikatilila kuntambo  ili mumusana wa N'gombe pakwebati epona panshi.,Umwaume uufwele ishati  na kaputula ka fita  alebutukila ku ngombe iikwete shibantu uulefwaya uku pona,Kumbali yacibansa kuli Ibumba lyabantu ililetamba ifilecitika mucibansa,"icibansa naci cingililwa na malata, mukati muli nefitunshi tunshi fibili",Bashitata bonse abali mucibansa nabafwala ifisote namashati yama maboko ayatali.
5456,Umulumendo uwamasambililo uufwele umwingila wa fita nanamayo alipambali yakwe nabeminina pamusebo balelolesha pe pepala ,Umukashana Pali efyo alelangisha umulumendo pacipepala ,Panse yesukulu pali Ibumba lyabantu ilikulu,Pali ili ibumba bambi nabafwala  ifitebo bafwala pakusefya elo bambi bali fye mu fyakufwala fyabo,Namayo uwiminine monulumendo akwete umushishi uwa fita nafwala nakashati aka katapa katapa mukati abikapo neshati lyafita kunse. 
5457,Banamayo batatu baleshita ifyakulya pacikontena mumbali yamusebo elyo Pestolo palemoneka ifyakulya ifingi pamulu we tebulo.,Umulumendo alebapelekesha efyo bana mayo batatu bashitile ,Shitata uuleshitisha afwele icampepo ica makumbi makumbi nafwala  nakasote kumutwe nabika nama galashi pamulu wakasote.,"Bana mayo batatu nabasenda ifintu  kuminwe, elyo umo  alepokelela ifintu fyakwe",namayo umo pabali pantanshi nafukatila ifyakulya kuminwe elyo umbi ali kumpela pali nefyo alelanda
5458,Shitata naiminina alepyanga amenshi yamfula palubansa necipyango icitali.,Shitata uule pyanga amenshi panse na fwala icisote icabuta na macombo ya fiita ,Palubansa pali amenshi elo  mumbali yalubansa muli  utushimbi utwipi.,Icibumba cacikulwa ce langi lya katapa katapa elyo na mutuntula mutuntula,"Palubansa balibika bikapo utuma buloko panshi, elyo  kucibumba balitula icipunda apakufumina amenshi. "
5459,Umulumendo na umukashana nabaipalamina nabekala baleilolesha mumenso,"Umulumendo na umukashana nabamwentula, umukashana nashibatilila nako",Umulemendo nafwala ishati ilyabuta ilikwete amalembo yafita nafwala nakasote aka makumbi makumbi.,"Umukashana nakaka umushishi pakati, nafwala ishati ilya buta,  ica mpepo na ikobaika nefyakuikobaika   mumukoshi",icibumba ca ng' anda balipenta ilange lya buuta necibi naco calipetwa
5460,bakapokola abasungu babili nabenina pamusebo umo nafunga namaboko,"umulumendo na umukashana baleya mwi shitolo, umulumendo nabika  umwana pamabeya",Shitata uuleshitisha nafwala ishati ilya makumbi makumbibi naikata necefu,Kunuma yakwa kapokola aikumbete amaboko kuli umulumendo uwa fita,"Pa cisankano pali ifishimbi fitali ifitatu, fibili ifya kashika, chimo ichafita elyo pamulu pali ifisaniko ifikulu fibili."
5461,Namayo umusungu aleenda mumbali yacikulwa nasenda na icola ca fita kukuboko kwaku kulyo,namayo alemoneka uwasakamana elyo kwati ali napabukulu,"cacine ico mune wasosa,Namayo uyu wine afwele  indeleshi yafita iya maluba-maluba, elyo eko afwele kunse yandeleshi kakwete amaluba ya katapa katapa, nafwala nensapato shakashika,",Mu ngalasi muli icinshigwa cakwa namayo  ne cinshingwa ca ncinga na umwaume ufwele ishati lya katapa katapa,cacine ico wasosa mune elyo napenta napamilomo uyu wine namayo ilangi lyakashika
5462,umukashana alesamba pamenshi elyo naingisha na umubili onse pamenshi,"Umukashana alikwata  umushishi wafita, nafwala na kaputula ka buuta",Amenshi mumulonga yalemoneka ayama kumbi makumbi,bushe mune uyu umukashana teti anwine mumenshi umu engile umubili onse? ,awe mune tekuti anwine alemoneka alikanshiwa ukusamba monafye efyo apongolwele umubili wakwe kwati alesamba insamfi
5463,Namayo umufishi na imfwi mumutwe naimina mumbali yamusebo elyo naimya na ukuboko kwati aleiminika icimbaya-mbaya,"eya mune, Nakulu naimya nefyola fibili kukuboko kwa kukulyo",elyo nafwala ica mpeepo ica kaki icitali elyo na ishati lyabuta mukati,"cacine wasosa mune, elyo kunuma yaba nakulu kuli namagalashi nayakwata nama lembo",cacine alemoneka uyu namayo abomba muli ici cine icikulwa elyo apa ninshi aleinuka kuncito
5464,umulumendo umufishi alemoneka uwansansa na imya na amaboko ,Umulumendo naikata necisakulo muminwe elyo namwentula,Kunuma yamulumendo kuli icikulwa icikalamba cilemoneka bacikulila na amatafwali yakoca,Umulumendo na fwala icampepo ca fita elyo ishati mukati lintu lyabuta ,Utushimbi utuli mumbali balitupenta na ilangi lya makumbi-makumbi
5465,Shitata ali pamenshi pamumana nanina  mukabwato akanono elyo naikta na ukuboko kwamuntu kwati balemwafwilisha,mune napapa ne cola elyo naikata ne cakobelako,"cacine mune naine nimpapa,elyo uyu wine shitata afwele ifyakufwala ifya fita elyo na icisote ca kuicingila kubusanso ica fita",Ubwato bwakwa shitata kuntanshi nabubunda pantu amenshi nayafula bushe naumona mune?,eya mune alemoneka umukuku na umucimfya ciwamefye tanwine
5466,Ibumba lya balumendo balelonga amasako yambele mucimbaya-mbaya icikalamba,abalumendo bambi Bali mu cimbaya mbaya lelo bambi bali panshi,amasako yambele yene balelonga ala yengi mune,cacine wasosa mune nalimo kutali yaleya mune,Abalumendo bonse nabafwala utusote kumutwe alo umulumendo uwimimine mupepi  nomutwe wamotoka nafwala ishati lya mutuntula
