IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
4201,Umusungu umwaume ali nakabombelo,Bushe finshi alecita ,Alekabomfya uku lasa amenshi makasa, Nalimo alefwaya ukutoba amenshi makasa ,Cipalile kwati alefwaya ukupanga akalubi aka menshi makasa 
4202,Abantu batatu bali mupepi nefikulwa ifya pusana pusana,Bushe ici icilemoneka ne langi lya Mukola mfula nacho chikulwa,"Ici eco apaleme uyu umukashana uule landa pali lamya, bushe te cikulwa cakuyefyafye icifulo?", umwaume no mwanakashi balemobeka balefuma mu kutamba ici cakuyefya icifulo ,"Efyo camoneka, elo neko Bali kulifye ukwabusaka saana"
4203,Umusungu umwaume ali pali bemba,aleipakisha ukusamba muli bemba ,"iyoo, tale bomfya imbao yaku basa ukwangalilapo pe bemba?",alebomfya icakumwafwilishako pakuti enwina ,"eeya, cacine ico, nafwala nefyaku fwala ifyaku sambila pa menshi"
4204,Ba mwenye babili abakashana nabeminina kwi lungu, baletamba ubusuma bwe lungu umwiswile amenshi ,Umo pali bena nakwata necaku kopelako utukope,balekopa ifikope fyakwibukishako icifulo batandalile ,"elo ukubali ifyani fitali saana, filepalama nobutali bwa kamuti akali pantanshi yabo"
4205,Umukashana uyu alembombela mundeke,alepekanishisha abali pabulendo mu ndeke ifya Kunwa ,"Afwele ifyaku fwala ifyabuta nefya kashika, pamulu pali nakaliluba aka kashika",naposako sana amano kufyo alebomba ,Panuma yakwe pali nabale tamba aka tunshi tunshi ako babika mu ndeke
4206,Icungulo abantu bali mu bwato ubo baleikisha ukubomfya intambo,Bushe balebwikishisha pamumana nelyo pali bemba ?,"iyoo, cilemoneka kwati balebwikisisha pali bemba",cine cine aba bantu balebombela pamo uyu umulimo,"cacine, bale bombela pamo mu bwato ubu ubulemoneka ubwa kashika"
4207,Akabwa akanono katolokela pamenshi, kalemoneka nakatemwa ukwangalila mu menshi,"elo naumona amasako kakwete, yambi yali ayafita elo yambi aya buuta",cacine  kalemoneka akaibelako,"elo pantanshi yakako palemoneka kwati pali eco baposele mu menshi, limbi eco kalefwaya ukumona"
4208,Umusungu umulumendo ale angalila pa menshi,cilemoneka Ali pali chibemba icikalamba sana ,"cine cine cena cikalamba, bushe cinshi ici anyantilepo icilemoneka ica katapa-katapa?",ni cilya  bangalilapo pa menshi icafwilishako Ukuti aleenda pa menshi,"oo, eco nabalya babili abalumendo abali panuma yakwe muli bemba bakwete cila umo nomunankwe"
4209,Umusungu umwana umulumendo naiminina pamulu panse ya ng'anda, bushe kwena finshi alemona palya eminine? ,kwati alelolesha abalemu kopa akakope,nalimo abafyashi bakwe nabamusha Teshibe noko balolele,"efyo cipalile, opo eminine napo napafula amaluba, pali naka jinga akabana"
4210,uyu umwaume alendonsana na kabalwe,Ee Bali muchibansa umo bachifyanisha amangalo yafinama,kuli nabantu abengi abale batamba mu cibansa icicine,fintu aletitana noyu kabalwe nalimo euntu abomba nakwe mumangalo yabo kukucinfyana  na bambi,"nafwala necakufwala ica mutuntula, iyoo kwena alikosa paku tintana na kabalwe"
4211,bashitata babili abafita inkanda nabekala panse pamu pando uwa cishimbi,kuntu baposele amano kuliko ifilechitika ifiba peseshe amano ,"cine, bonse bashitata aba nacibapesha amano, elo cilemoneka kwati bali mukalale",Ee  elo balemoneka nga balya ababulishako fimo mu bumi bwabo,Ee cine balemoneka na limo bali namacushi
4212,Ba shitata abasungu abakalamba baleba sunkilisha pacipuna icama wilo,bali na muchikulwa mulya basungila ifitabo,"elo namufula abantu mu cikulwa cine, bushe bonse beshile muku shitapo ifitabo?",chilemoneka beshile mukubelenga ifitabo balatemwa ukubelenga ,"Ee, cine bonse aba cili kwati beshile mukubelenga"
4213,Umusungu umulumendo naikala panse alesekelela efyo amwene pali lamya yakwe,bushe finshi alemona pali lamya yakwe ifilelenga ena ukumwetula,limbi umutemwikwa namutumina akakope akalesekesha ,nalimo kuliko ifyakuleseshamo icitendwe efyo aletamba ,"Cine, kuti caba ifyofine, kuti aumfwa icitendwe nakasuba ifyo katulile, cawama nakwata lamya iyaku pwisishamo icitendwe"
4214,Umusungu umwaume alemokena alekwela impili,uyu kwena mulimo iwakosa alemoneka aleposapo amaka sana,Naikaka nentambo pakutila epona apo akwelele apalepa,napalepa kwena emulandu wine lecingilila ku busanso bwa kupona,"eco afulilepo necakufwala cakumulu, napiba noku piba, katwishi nakasuba kene nga takalemoca "
4215,"Uyu umusungu uwu fwele ica katapa-katapa kumulu ale panga inyimbo, bushe kanshi aka alebomfya?",alebomfya ipenga lya nyimbo,"oo, elo umu ekele mwamoneka emo bembila inyimbo nangula emo bacitilamo utusela",ee nalimo alepitulukilamo libela pa kuti aipekanye ukwisa imbila abantu abesa mu cikulwa na nyimbo,"ee cine efyo cili nifyofine, alefwaya aipekanye epo tabalaisa abantu"
4216,Umusungu umwaice umukashana alemoneka uwadabwa,napapa sana pafyo alemona ,"cipalile kwati ali kumangalo ayaku cimfyana ukowa insamfi, yalya eyo bamwenako uusamba nangula ukowa bwangu ukucila abanankwe ",cacine elo alemoneka ali mupepi nokutolekela mu menshi ku kutendeka ukucinfyana ,elo uyu umukashana alemoneka fintu atemwa saana uku cimfyana mu mangalo yamu menshi
4217,Imbwa naimya akamuti mukanwa yaiko,kucifulo kuntu ili kulemoneka ukwa yemba nganshi,"icine, kulemoneka nalimo nikulya ku mabala basungila ifinama ifyapusana",kwaliba namabala ya fintu fimbi ,"ee, kuti kwaba, balipopelela utumuti bakakamo nentambo yatushimbi pakuti bacingilile incende uku kwine"
4218,Banamayo batatu abasungu nabeminina ati bakopwe mu ng'anda,balesefya Icaka pantu nabayefya mumuputule kabili muli necimuti cakusefeshako icaka,"cine balesefya, umo alenwinapo notwakunwa",balemoneka aba nsansa nganshi,awe balemoneka balasefya ubushiku bonse
4219,uyu umusungu umukashana nafwala nalimo ni mwana mfumu waku basungu,nakwela pa Cilubi icapalana ne nsofu,elo uku ali nikucibansa ca mangalo ayengi ayapusana pusana,Ee pantu kuli na fimbi ifyakwangasha ifyalekanalekana ,nako uku kulemoneka abantu bonse abaliko baleangala noku sefya
