IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2701,Abaume abali ciano baleshimika ilyashi,Bushe bashikulu bantu bali pakati ninshi bali notuma pepala balelanga abanabo?,Ehe bashikulu bantu balelanga abanabo utupepala twa nchende yaku kulapo amayanda ku kabangwe,Kubamwenafe mukusansamuka ukuti inchende balelandapo intu yayemba saana.,Emukwai aba bantu balemoneka ukuba aba nsansa sana Cipalile kwati inchende intu yayemba sana.
2702,Shitata ufwele ifya fita afuma ukumona shitata wikele munshi ya umbrella panse yachikulwa.,"Shikulu bantu uyu wikele banjo yakwe iyi awe kwena alatongola bushiku bonse,nabapita nshila besa mukuposapo indalama.",Ehe kwena uyu shikulu bantu aba ne talanta mukutongola banjo nabena mupita nshila balasekelamo nokumupelako ama coin.,Nanomba tabalaisa mukumusenda shitata wiminine pa chibumba pantu kwena bwaila nashikulubantu wikele atampako  ukuisokela nefya mpepo.,Ehe Cipalile kwati uyu shitata wiminine pa chibumba naba chelwa aba kumusenda impepo yatampa uku mwingila.
2703,Umulumendo nomukashana balelolesha pali map yapa chikulwa,Bushe teti tukwelefe chi Sacha  ichilepita pa musebo umukashana aleipusha umulumendo bali nankwe,Cipalile kwati umulumendo talefwaya ukuluba so ale eba umukashana ati first bamoneko pali map.,Pantu akasuba kawa balaenda shani nga tabeshibe inshila yakuya? elo chibipishe ekakubalilapo ukwisa kunchende ikalamba ngei nama lila nayapwa eyo baendele awe kwena nabanaka.,Emukwai kwena nakasuba nakawa so baleti bamoneko pali map pakuti beshibe efyo bala enda.
2704,Bashitata babili nomukashana umo naba posina paku kopwa picture.,Namayo Cipalile kwati mukashi wakwa shi tata pakati elo nomba uyo umbi shi tata lubali mu pongoshi bale ba shindika babwekelamo ku myabo.,Ehe Cipalile kwati inshita yaku tandala naipwa lelo shitata pakati tali uwa nsansa.,"Umulume pakati atila iseni tuloleleko panono tapali nama sacha pano palife ifimbaya mbaya ifinono nafyo fyabantu bamunomwine filetele abalendo,nangu mailo kuti twaya tapali efyo tulebutukila umulume ailishanya kubenamyankwe.","Awe kwena nailishanya sana but Cipalile kwati abena myakwe balefwaisha ukubwekelamo kumwabo, bali aba nsansa kwena."
2705,Abalumendo babili balechena.,"Ukuchena kwaba, baleponeshapo nama gilasi yakumenso kwena? awe kuti wapapa","Awe kwena chakupapa, elo balemoneka bali abansansa sana mukuchena kwabo.","Nama sukulu aya bapwisha awe bakaifuluka saana,nomba ichifwile baiteyanye mukulonga ifipe fyabo mufimbayambaya baleposafe inshita.",Awe kwena baikaifuluka sana lelo batangisha ukuchena instead yakulonga ifipe mufimbayambaya.
2706,Abalumendo babili nomukashana balesefya.,"Awe kwena kwakokola ukusala kwa chipani kwafika namuchungulo bushiku mpakafe awina umusalwa wabo,nomba ninshi naku talala saana?",Ehe Cipalile kwati naku talala sana pantu uyu umulumendo kunuma alemoneka kwati impepo naimwingila.,"Chawama babwelako fyapita pantu ngabalilusa ngabachilolelafe ulwisha abantu aba kwena,bayamuku sefesha kumayanda nomba.",Awe nachiwama sana ukutila ati bawina apa nomba balaya sefesha kumayanda yabo.
2707,Umwaume alechekula kanyense nokubika pali pan iyili pa stove.,Nomba umukashi wabo talipo pakuti shitata uyu alechuchutika mukwipika?,Chpalile kwati umukashi tala inuka ku nchito elo umulume ali nensala.,"Nakuba ichimamba chintu chatwa,imiputwile ya kanyanse ili iya busaka saana.",Ehe chipalille kwati shitata wakena muntu waishiba ukwipika.
2708,Shitata umusungu ale ensha honda nasenda nefi bombelo.,Shitata uyu kale bambile ukumulolela kumu godi atwale ifibombelo,Cipalile kwati achiya muku shungulukako pakuti abantu pacipanda bamone ati ale ensha honda.,awe kwena elo ninshi umu godi wabafe mupepi nechipanda ekalilamo,Apa nomba capala kwati alatwala ifibombelo asendele ku mugodi.
2709,Ba kabomba baku kampani yaku shimya umulilo balelwisha ukushimya umulilo.,"Ati nabakupususha imyeo sha banru bafika,bushe ninshi muli nabantu beketwe no mulilo?",Cilemoneka kwati pali ichikulwa ichilepya echo balelwisha ukushimya.,"Pantu bachichelwako nokufika ,nefipe ifingi muchikulwa nafikatwa no mulilo.,",Emukwai ukuchelwa kwena nabachelwa lelo Cipalile kwati kuli nabantu aba fentele.
2710,Umukashana kemba wa nimbo ale imba nokulisha violin.,Bushe ni uyuwine baitile ukwimbila abantu balekumana mukulongana kwakulanshanya?,"Emukwai nyuyu wine, nikemba musuma sana alaba sansamusha bonse abeshile mukulongana.",Paliba italanta ilikulu saana apa ichakuti aleimba nokulisha pamukumo.,Kwena chintu ichawama sana ukwimba pamopne nokulisha.
2711,Namayo nabana babili naba basendako pali honda.,Chabulanda kwena pantu namayo nabamupoka fyonse ifyuma panuma yakulufya abena myankwe,Nachibipa sana apa momba lwendo lwaku bwekelemo kuba fyashi bakwe.,Kanshi batolafe ubulendo bwa kuya kukamushi kuli ba mbuya wabana.,Emukwai ebulendo bwishile nomba apa ati limbi ifintu kuti fya londolokako.
2712,Umwana umunono ale angala nembwa yakwe.,"Akamwana takakwata nabakwangala nako,kanshi kangalafe nembwa yapamyabo.",Ehe Cipalile kwati takwata abanankwe pa cipanda lelo kangala fye nembwa.,Nomba kabili abafyashi bamwana tabaposeleko namano ku mwana?,Abafyashi bakwe balemoneka nabasendwa pali lamya yabo.
2713,Umwana umunono ale ikata akapombo uku kabili alelila.,Umwana uyu batwele ku nchende yafinama ekwamulisha umusango uyu?,Ehe Cipalile kwati aletina ati kala musuma.,Nabo abamutweleko nabatemwa saana pantu tabalemufumyako kuka pombo.,Abamutweleko Cipalile kwati nabasendwa nefinama ichakutila nabalabako nakumwana.
2714,Ba shikulu nabekala beka balelolesha mu chibumba.,Bushe ba wiba wabo ninshi tabalapwisha imilimo pakuti bese batushishe chapamo?,Cipalile kwati bachili ne milimo bena limbi balefwaya bapwisishe chalimo.,Balelolesha ichibumba ngakuti batoba bakulilemo ichitele cha nkoko nangu bachilekefe.,Cilemoneka kwati ba shikulu balefwaisha ukutoba ichibumba.
2715,Umwana umwanakashi ale angala pali jumping castle.,Ababomfi bapang'anda pamyabo ebatwele umwana mukwangala emashiwi babashilile kuli banina wa mwana,Cilemoneka kwati banina wa mwana nabakwata ifya kuchita ifingi ku nchito so batumine aba bomfi babo ukutwala umwana mukwangala.,Ninshi uku baleangalila kuli ukuipenta ama kala aya pusana pusana?,"Efyo Cipalile mukwai, Cilemoneka bali ku color fest yabana."
2716,Aka bungwe kaba kemba naba kalisha ngoma balesansamusha ibumba lya bantu.,Abati pali nokuchimfyanya kwa kushana apa?,Ehe Cilemoneka kuli ukuchimfyanya elo ulewina balemupela ichilambu.,"Kwena akabungwe kabakemba balikatemwa saana ,ibumba lya bantu baletamba lyafula mubushiku bumo.",Kabungwe katemwika kubantu nangu pafite shani balesa mukutamba abantu.
2717,Bakensha wa motoka naba kalungisha wama motoka bale cekina motoka epo tabala amba uku chinfyanya.,Awe kwena bachenchente bwino pantu umo alipona na motoka  bulya bushiku.,Utuma motoka utu kwena tula butuka sana so bafwile bachechenta bwino sana epo tabala amba.,"Nabantu tabalafula muchitenge abakulumba,ninshi ukuchimfya elokwalatampa?","Ehe apa bale esha fye ukumona motoka nga ilifye bwino, ukuchinfyanya kwala amba inshita iyimbi."
2718,Umukashana nomulumendo balekopa abantu ku chila.,Umukashana naluba mumatontonkanyo pali fintu alesakamana?,Alemoneka pali efyo aletontonkanya limbi alefwaya uku kopa fimbi.,"Pantu lyonse balabeta mukukopa nomba lelo alife uwaluba,awe kwena.",Lelo alemoneka uwalubana limbi pali ifilubene ku ng'anda.
2719,Umulumendo alefwaya ukusenda inkuni mumpanga.,Bushe nakutalala ku chulu chine ichi?,Emukwai kuli ukwatalala sana uku echo alefwaila inkuni pakuti akosheko umulilo.,Umukashana bachiya nankwe ena atila naisa nshungulukeko kunuma ya chulu.,Ehe ena ashungulukile kunuma ya chula ati amoneko nga kuli inkuni.
2720,Akabwa kalelwisha ukwenda pamolu yabili kwati muntu.,Ilingi liine utubwa tuchita ifyamusango uyu ngatulekonkelesha mubantu.,Cilemoneka kwati abene balakafunda ifya kwenda olo ukwiminina nga umutu.,Nabakasanika naku lubuto elo kaleenda awe bwafya.,Nabakasanika pakutila ati bakakope bwino abene.
2721,Umu chinese umwaume no munankwe baleteya ubwangalo bwa pool.,"Ali uwansansa saana umulumendo uyu,teka bubili achimfya umu biye aka?",Cilemoneka kwati alewina sana echo asansamukile.,"Nabambi nabatantama ukulolela ukuteya nankwe,baletilafe twalamusepa.",Bonse balefwaisha ukuteya nankwe pakuti bamusepe.
2722,Abalumendo nabakashana bale angalila mumenshi,Kuli ubwangalo bwakuitila amenshi muchimana chakwangalilamo?,"Ehe efyo Cilemoneka mweh, nabesa mukwangalila muchimana.",Lubali lwabo ukuchuluka umusebo nikufikulwa namayanda.,Emukwai nga wachuluka umusebo kuli amayanda nefikulwa fya bwalwa.
2723,Ama chinese abaume nabanakashi bale shita ifintu mu market.,Bushe ni aba baleya apo nama skipa yapalana?,"Emukwai elo nabonse abalepita ma chinese, uyu musumba wama chinese.",Awe kwena ukukuntu kwaliba amakwebo yapusana pusana nabantu abengi.,"Amakwebo yena yengi nomutengo untu wachipa, abantu babako baliba bwino sana."
2724,Abantu baletamba kapokola ulepita ne sembe mumusebo.,Kapokola uyu ninshi ninshila alepanga iyakwisa mukupitamo bakatebebe?,Emukwai Cipalile kwati alepanga inshila pakuti bakateka bese bapite bwino.,Awe kwena niba katebebe ichakuti nomukashana ufwele icha katapa katapa eko aposele amano.,Nachimupapusha kwena tachila chetekela ukuti kuti akumanya bakateka.
2725,Kanakulu kale shugulusha utuma bola tutatu pamukumo.,Te uyu nakulu uwisa pakali sitolo kapa sukulu?,Nyuwine nakulu inchito yakwe kusekesha abantu mumusebo namu ma sitolo.,Awe kwena alikwata ichongo nabo abepika abalumendo balimutemwa pantu alaleta abakushita ifinsabwa nsabwa.,Balimutemwa sana pantu alasekesha ba customer babo palya baleshata ifyakulya.
2726,Umwana umunono natwika aka kwangasha kumbali yakamana.,"Ati wemwana bwela kuno ukokwaliba insamba kumenshi,kena kaleyafe.",Banina baleketa kena kaleya fye nomwenso takakwete.,Awe kwena nabantu nabafulisha mumaloba umu basuke bakapunkemo kapone takomfwa.,Awe kena kamwana akasamwa kalefwaya fye ukuya mukwangala mumenshi.
2727,Umulumendo nakwela pachishimbi kumbali ya ng'anda iyi kwete amaluba,Abati umulumendo baisa na kampani  kapentela  abantu amayanda nefyalekana lekana.,Nabesa mukupenta ing'anda pakuti imoneke bwino sana.,Ifimbayambaya nafyo fileipitila pamusebo kumbali kwamayanda alewamya.,Uyu umusebo ulemoneka kwati untu waba busy nefi mbayambaya fya bantu.
2728,Abantu baletamba ubwangalo bwa mupila waku minwe.,Amabumba yali yabili nesumbu pakati yabo.,Yonse amabumba yalefwaya ukuponesha umupila ku side yabambi epakuti bengengisha.,Limo ibumba lilechingilisha umupila ukuti wipita ukuya kumyabo ninshi balusa.,Awe kanshi kuli ukuchingilila umupila ati wipita pantu yonse amabumba yalefwaya uku wina.
2729,Umulumendo nalala nechilubi pa bed ale isula ifyakulya.,Ninshi umulumendo emo apwisisha ichitendwe mufyakulya?,Emukwai Cilemoneka muntu umo uwupwisha ichitendwe mufyakulya.,Elo ali nowafulwa pantu nabamusha bonse pang'anda,Tasekelemo ati nabamusha eka pa ng'anda so nomba kulala fye.
2730,Bashikulu bantu babili bale ololoka ku gym.,Bushe abanabo bashi tata aba baleyolola panshi?,Emukwai baleyolola ukuti babwesheko umubili.,Munchende umu muli umwabuta saana kunuma yabo kuli namakwebo.,Aya amakwebo yabantu ebanga fwaya ukushita pa mutengo wabwino.
2731,Umulumendo naiminina kumbali yakamana aleputula ichisabo.,Uyu umulumendo muntu wakokolako saana uku kunchende batini?,Emukwai Cilemoneka alikala inshita iyitali sana muli iyi nchende.,Kanshi nechimamba abomfya chintu chatwa saana pantu ifisabo ifi fyalikosa saana.,Emukwai chintu chatwa sana pantu ifisabo ifi fintu fyakosa nganshi.
2732,Bakapokola balepita muli motoka yabo Cipalile kwati pali ewo baleya mukwikata.,"Bushe teichi ichikulwa batina abantu umwikala ifipondo,baisa mukufikata bakapokola?",Emukwai nichi chine ichikulwa umusangwa ifipondo fya fyanso.,Awe babekate bonse pantu bapwa ukuchusha abantu muchipanda.,Lelo balabeketa pantu aba kapokola beshile bantu ababa serious nenchito yabo.
2733,Imbwa yaba kapokola ilepita muma fundisho.,Ninshi baleifunda ukubosa ifipondo?,"Emukwai, bale ifunda ukwishiba ifipondo fikwata ifyanso nama drugs.",Awe kwena imbwa iyi ikali saana ameno yakulisha.,Iyi type yambwa isangwa sana ku mangalande but numuno mucalo chesu shilasangwa.
2734,Umulumendo ale angala pamenshi naikatilila intambo napa kunyanta.,Nabaya mukwangala kumumana nolupwa nabena mupalamano bakwe.,Cipalile kwati nabasendana bonse fye balupwa nefibusa .,Intambo eketeko baikulikile ku bwato bukalamba ebulemu donsa pamumana apa kwena.,Emukwai intambo nabaikakila kubwato elo bulemudonsa.
2735,Abantu balekopwa ama picture naba shibwinga nabana bwinga panuma yakupana.,Abantu nabafula saana abachisangwako ku bwinga ubu?,Emukwai Cilemoneka kwati bashibwinga nabana bwinga bantu abaishibikwa sana.,Itempele likalamba saana pamo nechimbayambaya babomfeshe.,Ilitempele lilemoneka ilikulu sana mu musumba uyu elo nacho ichimbayambaya chisuma sana.
2736,Kemba umwanakashi ale imbila abantu pamo nokulisha keyboard.,Nasendwa nenimbo aleimba namayo uyu.,Inimbo ale imba yintu yawama sana nayi musenda.,Aleshibata napakwimba emukulanga ukuti alikwata ichabupe,Awe kwena uyu muntu alemba bwino bwino nabantu balimutemwa.
2737,Abantu baletamba umulumendo alepanga akasela pa stage nabama camera balemukopa.,Nechimpompo kumutwe nolubuto nalusanika.,Alelanga abantu efyo engachita ne talanta lyakwe.,Kanshi nabonse ekobaposele amano.,Emukwai bonse balelolekesha bamone efyo achita uyu muntu.
2738,Ibumba lyaba kemba lile sansamusha abantu.,Umulumendo uyu bushe alelanshya umukashana nechakufwala cha katapa katapa?,Emukwai Cipalile kwati namutemwa so alemulansha.,"Ichikulwa umusangwa abantu mukwisha,ukulya nokutusha.",Emuukwai ichi echikulwa abantu abapusana pusana besa mukutushishamo nokusansamuka.
2739,Abantu baletamba amenshi nefikulwa,Kunchende yayemba nendupwa isha lekana lekana ekoshili.,"Iyi enchende abaiche, abakulu, balupwa, ifibusa nabatemwikwa bonse besako.",Umulumendo umo aletolokela mumwela bambi balekopwa nefipikicha.,"Bambi nabo baletamba amenshi bambi baleisha, kuntu ukwa wama sana uku."
2740,Shikulu bantu nanina ichi kochikala ne horse lile mwensha.,Ichikotikala chine ichi echo abomfya ukusendelapo ifipe fyabantu mumisebo.,Echo chine abomfwa ukusendelapo ifintu ifya pusana pusana.,Eapo aya pan'ganda yakatapa katapa mukusendela abafipe pachikotikala chakwe.,Ehe Cilemoneka pali ifyakusenda pa ng'anda apa atwale eko balefwaya abene.
2741,Shikulu bantu alepita muli snow.,Nefimuti fyonse ninshi fiswile na snow?,Emukwai Cipalile kwati snow yalipona sana.,Elo shikulu bantu uyu ali belela noku shelela muli snow chila mwaka.,Alemoneka alikala sana munchende iyi so alibelela ukushelela.
2742,Imbwa yaleta akabale bachi iposela.,Tekale batampile ukufwaya imbwa iyi naifika nakuli snow.,Cipalile kwati kalifisama muli snow akabale aka.,Epo baipelele ifyakulya imbwa pambale iyi kanshi yaliswatila.,Ehe epo ilila pakabale aka so yalikeshiba bwino.
2743,Shitata umo naiminina panse alelanda pali lamya naumbi shitata ali muli motoka alelanda pali lamya.,"Bushe namumona imibombele yenu panchende pano?',aipusha ababomfi palamya.",Cipalile kwati tasekelemo nemibombele yaba bonfi panchende.,bonse bweleni panchende yamilimo nombaline munsange' abasoka,Aba bomfi basakamana nokubwelela pa nchito.
2744,Umukashana ufwele ilaya lya kashika nakakila umunankwe amaboko nama chain.,Bushe mukashana uyu uwakwata ubuluku kumubomfi wakwe tamusunga bwino?.,Cipalile kwati ala muchusha sana umubomfi wakwe.,"Ekumukombosha nomba uku,kulaenda nabamukakila namaboko kwati chipondo kwena.",Chintu ichibi sana kwena ukusunga umuntu nakalimo kwati chilwani olo kwati nikabolala.
2745,Ibumba lyaba kemba lilelisha ama instruments aya pusana pusana.,Iyi inchende yamu tende saana emusangwa ifisekesha abantu.,Nichende iyisuma sana eko umuntu engaya ngalefwaya ukumfwako ku nyimbo ishisekesha umupashi.,Nababapekanisisha nefyakunwa ifyalekana lekana lubali ukulisha ama banjo kubantu,Emukwai pakutila baletalalikako ku mukushi palya balelisha.
2746,Abanakashi batatu bale ipika ifintu ifya pusana pusana,Bushe ebakafundisha abafya kwipika abalumbikwa akalale konse aba?,Abakashana babili balefwaya ukusambilila ifya kwipika,"Awe kwena balafunda bwino icakuti,bafumyako nama gilasi kumenso.",Emukwai nga bafumyako ama galasi ninshi balefwaya uku konkomesha ifyakwipika.
2747,Kafundisha alefunda abana abengi mu kalashi.,Aba abana kwena batile baana banshiwa?,Emukwai aba bana banshiwa abesa pa sikulu ili.,"Awe kwena alebomba imilimo isuma, pakuti bakese isunga ngabakula munchito isha lekana lekana.",Emukwai kwena alecita bwino pantu nga basambilila kuti bacinjako ubwikalo.
2748,Umwanakashi ale iwamya imishishi umbi alemutamba.,"Bushe nkashi yandi teti unsendeko ku cila uleya kanshi?',bamwipusha uleiwamya.",Nankwe amwasuka ati awe uku ndeya pakwingila kukwata ichitupa mune.,Awe kwena chamukalipa pantu kale amulomba ukuti akamupeleko blower yamishishi.,Cilemoneka kwati alamupela abonfyeko nga apwisha.
2749,Shikulubantu nakajinga kama taila yatatu ale shitisha ifya kutalalika ku mukoshi.,Bushe balya abantu nasha kunuma bachilaiminika ine?,Emukwai Cilemoneka kwati pali aba mwiminike ukutila bashiteko fintu akwete.,Kanshi chi mbalisishefe ka belu bendesheko.,Ehe ka belu kalalenga ukutila bendesheko pantu uyu muntu alemoneka ukuba busy.
2750,Bakateya ba mupila wa nkonto balesefya.,Eaba babawinine umulungu wafumineko?,Emukwai aba ebali nokusenda ichikombe uno mwaka.,Awe kwena chansambu saana nokusefya pantu balwisha.,Bali aba nsansa sana pantu ukuwina kwalelo kwalenga ukutila bapalamine nokusenda ichikombe.
2751,Banina nomwana balelya mu restuarant uku balekopwa na picture.,Bachiya musenda umwana kusukulu elo bapita pa restuarant?,Emukwai bachimusenda ukutila ati baleya balyeko lunch nomwana wabo chali kale.,Chansansa saana pantu kale bamonenepo na banina.,Emukwai echo baitila nowa camera ukutila abakopeko pantu inshiku kwena shapita.
2752,Ama bumba yabili yaleteya umupila waku makasa.,Bambi bafwele ifya kashika bambi ifya katapa katapa.,Cilemoneka kwati iyi bola naikosa sana tapali abengishe.,"Awe kwena umupila uyu naushupa pantu bonse bakali saana,kanshi katumone eko balafika.",Elo Cilemoneka kwati ileya namukupwa kanshi abala ingisha ninshi bawina.
2753,Ba minister balelandisha abantu naba kobeka namaluba mumukoshi,Bushe niba ntungulushi besu aba abali muchipatala imyaka ibili elobamoneka ku chinso chabantu lelo?,Emukwai nyababene balwele sana lelo nabapola bamonekela naku bantu.,"Chawama saana pantu bantu baba bwino saana,kanshi kabatwalilile imilimo yabo.",Emukwai apa bale eba abantu babo ukutila nabapolelela nomba balakonkanyapo nemilimo yabo.
