IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
4951,Umulumendo umusungu naikala ale lisha ifi nanda.,"Ku lubali lwamusebo kule isa umulumendo no mukashana, bale enda icipale.",Nafwala amakalashi, Umulumendo ale lisha ifi nanda ubushiku nafwala ne nkonloko,Kuntanshi yakwe kuli ama motoka
4952,Abaume batatu na banakashi babili nabekala mu cikulwa., Pe tebulo pali  iminweno ya bwalwa ne fya kulya.,Naba shinguluka itebulo bale nwa no kulya.,Abalumendo abekeele ukuso naba fwala ifya buuta na makalashi.,Balenwa ubwalwa no kusasula umunani.
4953,Imbwa nabai fwika icakufwala.,Imbwa naba isala kukanwa mu bwangalo.,"Ilebutuka, cipalile kwati ili mu bwangolo bwalubilo.",Imbwa iyi yalikwata ulubilo icine cine.,Imbwa ili pa bwangalo bwa ku cinfyana.
4954,"Umulumendo ale angala paka lipulanga aka mawilo, na toloka mu muulu.",Kwangala kwa shani uyu umulumendo ukwa kutoloka mumuulu kanshi?,Natoloka mu muulu elo naikata nakwi samba lya ka lipulanga kamawilo.,"Ku muulu kule moneka makumbimakumbi, natoloka paka lipulanga.",cipalile kwati ali kwata italanta lya kwangala paka lipulanga kama wilo
4955,Abakashana babili baleipusha umukashana ku lubali lwe tebulo., Abanakashi babili baleipusha ku mukashana uwikele. ,Balemoneka bali pa bulendo naba paapa ne fyola.  ,Umukashana naikala pa tebulo ale londolwela  abanakashi babili ifya kucita.,Abakashana babili bale ipusha umukashana uwikeele pa tebulo yaku pokelela abeni.
4956,Umwaiche umwanakashi ale angala muci kulwa ca bwangalo.,"akakashana naka fwala ifya mutuntula,pa bwangalo.",Ubwangalo bwa kupita muka ngele ngele.,ku numa yakwe kuli ibumba lya bantu liletamba.,kwanfula paku pita mukangelengele.
4957,Ba kemba abengi bale imba noku cinda.,Ba kemba nabafwala imingila na matangasa.,"Cipalile kwati bali mu cikulwa, pa bushiku.","Bambi bale cinda,nabambi na bemya amaboko mu muulu.",Abalumendo na bakashana mucikulwa naba bashisha nama lampi.
4958,Umulumendo naikala ale tontonkanya.," Umulumendo uwikele mucikulwa ale tontonkanya, nangu pali fyo aletamba.",Kuli ifyo alelolesha elo ale tontokanya.,Cilemoneka kwati kuli ifyo ale tamba,nangu ale tamba amano tayaliko.
4959,Umulumendo uufwele ifya buuta na kooni pa mutwe., Umulumendo nafwala ifya buuta na Kooni pa mutwe.,Ale enda mu musebo elo ale sunka aka kwimishamo abana.,Cilemoneka kwati cidoli ale ensha.,shitata ku mutwe na fwala ica katapakatapa ne nsapato sha bakashana.
4960,Abaice abaume na bakashana bale angasha icimupila icikulu.,Ibumba lya baice abaume na banakashi bale teya ici mupila icikulu.,bale panta icimupila icikulu.,Bambi na bekala ukulolela uku pantako nabena.,Ku lubali lwa kuno pantashi napeminina akaice ne shati ilya kashika.
4961,Imbwa iya mafufu ileangala.,Ili pa lunkoto ili ne cimuti kukanwa.,Ile bwekesha icimuti ku mwine.,Cipalile kwati naisopola icimuti.,Imbwa ili pa bwangalo ne cimuti kukanwa.
4962,Bashitata bale lolesha ici kope eco ba cilenga.,Bale lenga  ubulalo no mumana  pantashi yabo.,Naba lenga ne cilibwe pakati ka mumana. , shitata kumbali ya bulalo ale lenga icikope.,Bale lolesha ubulalo ubupitile pa ntanshi yabo.
4963,Aba shilika babili bali nemfuti.,Abalumendo bali mubwato naba kwata imfuti.,Bale koki'nga imfuti pa mumana.,Abashilika pamumana nabafwala ifimpopo ku mutwe.,baleya ku nkondo naba kalipa naba fwala nama kalashi aya fiita.
4964,Ba kepika nabepika ama banshi.,kepika ale cita ncito shibili pamuku umo.,Ali umwa kwipikila ale panga ama banshi.,Ale fumya ama banshi mu citofu nga ya pya.,kepika ale fumya ama banshi mu citofu noku biika pa tebulo.
4965,Abaice abanakashi bale angala.,"Abakashana bali bane nabekala panshi, pa bwangalo.",Nabekala mu cikweepe bale umfwa bwino.,bale teya ubwangalo bwa pacipepala.,Bonse abaice nabekatisha ukutiina ukupona.
4966,Imbwa naisuma icimuti kukanwa.,Nakeminina pa lunkoto ne cimuti kukanwa.,naicisuma elo ilechangasha.,na mukanwa mulemoneka umwakashika.,Akabwa aka mafufu kale kokota icimuti.
4967,Umwaume no mwanakashi nabeminina mu musebo.,"Umukashana na fwala ica mpepo, ica makumbi-makumbi.",Kwati bale fwaya uku kopeshanya.,Umulumendo no mukashana  nabeminina panse pa fikulwa ifi tali.,Na bantu bale enda pakati ka fikulwa konse ku mbali ya misebo.
4968,Akabwa akanono naba kekata ku kanwa.,Pali ifyo ale kapoka mukanwa.,Imbwa na ikala pa nsalu iya buuta.,Awe cilemoneka kwati Pali ifyo ale kapokolola.,"Cipalile kwati, kali fupa kasumine mukanwa."
4969,kateya wa mupila na panta umupila.,Nafwala ishati ilya buuta na kaputula iya kashika.,Umulumendo na panta umupila.,Ku numa yakwe kulemoneka ilinga.,Capala kwati mulumendo elo apantafye umupila.
4970,Bashitata bali ku lulamba lwa mumana.,Aba lumendo babili naba fwala utu shisamputi.,Bale angala ku lulamba lwa mumana.,ku lulamba lwa mumana kuli abalumendo na bakashana.,Bonse aba lumendo na banakashi naba fwala utushisamputi ku lulamba bale angala.
4971,Abaume na bakashana balesamba mwi pofu.,Umulumendo umo naisuba ipofu umubili onse.,Bwangalo bwaku ilasa ipofu.," Umulumendo lubali kuno, bale mulasa ipofu, nafwala kaputula iya fiita.",ibumba nali teemba umulumendo ukumulasa ipofu
4972,Ba kateya babili aba mupila uwakuminwe baleteya.,naba fwala ama shati iya buuta naba kaputula aba fiita.,bale angala ubwangalo bwa rugby.,Umulumendo natolokela umupila mumuulu.,Bakateya bala butuka no mupila kuminwe.
4973,"Umulumendo ale oba pa mumana, mubwato.",Bali kuula aka kayanda  kumbali ya mumana.,ku mbali ya mumana balikuula aka yanda ka fyani.,Mu mbali ya kayanda muli ifi muti ifiitali.,Umulumendo ale oba ninshi afuma pa kayanda akuula pa mumana.
4974,Icimbayambaya nacibutuka.,icimbaya-mbaya naci butuka na casha amalaiti.,Cili pa bwangalo bwa kucimfyanya.,Icimbaya-mbaya ici cali buuta no kukashika.,Cipalile kwati naci cimfya.
4975,Bashi taata batatu bali mwituuka.,Uule shitisha na fwala ishati ilya fiita , Bashitata babili baleshita motuka.,shitata  ale shitishisha mwisamba lye tebulo.,Cipalile kwati uyu ale cita ama kwebo ya kubelama.
4976,Bashitata bali pafi tuukatuuka.,Aka lumendo kale enda ne cipepala ku maboko.,Nabemya ifipe pafi tuukatuuka.,Bashitata pafi tuukatuuka cila muntu ali pa cakwe.,Bashitata baletwala ifipe pafi tuukatuuka ku mayanda.
4977,Bashitata bale angala ifya kuloba.,"shitata nafwala ifya makumbi-makumbi, naikata  indobani kumaboko.",bwangalo baku loba ne ndobani .,Mwituuka mwaba amangalo aya lekanalekana.,ku lubali  lwa kukuso umwanakashi na ka mulumendo bale tamba shitata uule loba.
4978,Abaice abanakashi nabekala muchikweepe.,Ku kuso akamwanakashi naka seka kaisala namenso.,Nabekala pa cikweepe bale angala.,Ku kulyo ka mwanakashi naka fwala amakalashi na kasote.,Icikweepe cila shinguluka eico kwikatisha nga ca shinguluka.
4979,Abalumendo babili na bakashana babili bale isha.,Umukashana no mulumendo nabafwala ifya makumbi-makumbi.,Abalumendo na bakashana bale isha pa fyabwangalo.,Abalumendo na bakashana nabeminina bale ilolesha.,Umukashana ale pelekesha umulumendo utulimba twa mumatwi.
4980,Umulumendo no mukashana bali kulukungu bale nwa.,Umulumendo no mukashana nabekata inkomaki sha bwalwa.,Bali kulukungu bale nwa ubwalwa., Umulumendo ale moneka uwa kolwa pacinso.,Cipalile kwati umulumendo alepoka ubwalwa bwa mosi ku mukashana.
4981,Bashitata babili bacipita bale enda.,Bashitata babili bale enda no kwiisha.,Baleenda fye ninshi bale isha.,Ku kuso kulemoneka shitata no mukashi wakwe nabeminina pamwishi.,Umulumendo no mwanakashi nabeminina pa mwinshi wa cikulwa.
4982,Bashitata bali me mbwa mu bwato.,Uyu mumana ulemoneka kwati  ni lake bangweulu.,shitata ale oba ne mbwa yakwe mu bwato.,shitata ale abuka umumana na kabwato ukuya kunganda.,shitata ne mbwa bale oba ukuya kwishiilya lya mumana.
4983,Bashitata baleshitisha insalu panse pa matuuka ku India.,shitata no mukashi wakwe baleenda pamusebo.,bali pa musebo.,bashitata bale shitisha insalu pa matebulo mu musebo.,Bashitata nabekalako pa tebulo apo baleshitisha insalu na bantu bale pitaana.
4984,Ibumba lyaba shitata pa fituukatuuka lilekonkana.,Ici tuukatuuka cimo nacikwata imendela kunuma.,Balesefya ubushiku  bapokele ubuntungwa.,Bashitata bale ensha ifi tuukatuuka naba fwala ne fya fiita.,Bashitata bale sefya ubutungwa pafi  tuukatuuka ne mendela yacalo.
4985,Ibumba Ilya bantu ku fyalo fya basungu.,Abantu bambi nabekala pama matabo.,bale enda umwapusanapusana.,Ibumba lya bantu panse ya fikulwa bale endauka.,"Ibumba ku dubai lile endauka, bambi banaka baikalako panshi."
4986,Kunuma iyama lamya yatatu aya mumu sebo kulepita abantu.,Icibumba cilemoneka ica makumbi-makumbi.,Awe bashitata baleya ku lubali lumbi.,shitata ali kota no mushishi uwa buuta kumutwe.,Cipalile bale butukila Kuma chito.
4987,Ibumba Ilya balumendo ba monk bale enda elo taba fwele insampato.,Ba monk nabafwala imingila isha kashika.,Niba monk baleya kwi tempele.,kumpela kulemoneka umumana.,Kumpela kulemoneka umumana nefi kulwa.
4988,Abantu bali pa bulendo.,cila muntu nakwata icola pabulendo.,baya mukuniina ishitiima.,Kumpela ya kuno kuli ifyola fiitatu ifya palana.,Naba tantama mu mulongo pakuya niina ishitima.
4989,Baka lwisha ba mulilo nabemanina. ,baka lwisha ba mulilo nabafwala ifya ku bombelamo.,Bale pekanya ukuya muku bomba.,"Ku lubali ukuso, aba lumendo babili baletamba bakalwisha ba mulilo.",Nabeminina bale lolela uku beba ukwakuya mokubomba.
4990,Kapindula ale ita aba makwebo yakwe.,Kapindula naikata aka mupila kumaboko.,Ale pindwila umukashana.,Abantu abale pita pali Kapindula balemoneka aba papa.,Umukashana umo nabapindula icinso cakwe paka mupila.
4991,Umulumendo aleteya ubwangalo bwa bowling.,Pa ntanshi yakwe naba tantika ama botolo panshi.,bwangalo bwa bowling ubwaku ponya amabotolo.,Aka mulumendo naka fwala ica katapa-katapa.,Umulumendo afwile ukupoosa umupila ku minwe elo aya ponya ama botolo.
4992,abaice babili nabe kala balelya.,Abana bale iliisha abene pe tebulo.,balelya ama banshi mu nganda.,Utubana  natwikala tulelya cila muntu ne mbale yakwe.,Pali aka mwaume na kanakashi tulelya.
4993,Abantu bale enda musebo.,Umukashana apalamine kuno na fwala ishati ilya buuta.,Ku lubali kumbi afwele siketi.,Ku numa Yabo kule isa umulumendo nao aleya mukalale.,Umulumendo no mukashana pantashi bale enda uku bale isha.
4994,Abantu nabekala balenwa no kushimika.,"Umukashana lubali kuno, nafwala ica buuta.",Balenwa mosi noku lya.,Cilemoneka kwati bambi bale nwa ubwalwa.,Bambi bale nwa Alo bambi ba lelya.
4995,Bakepika babili balesuka imbale.,Bakepika babili nabafwala utu sote ku mutwe.,Bale suka umwa kwipikila.,Bakepika naba fwala ne fya kwipikilamo.,Bonse naba fwala ama shati aya buuta.
4996,Umwaume naiminina ku ntashi ya fimbayambaya.,Iciminine nici mazembe kunuma yamulumendo.,Bonse naba fwala amatoloshi ya makumbi makumbi.,Aba lumendo bali bane nabeminina pancende ba bombela.,Ici cimbaya-baya caku sankaya indaka.
4997,Aba bomfi nechi pyango ku minwe nabeminina.,blank,Umulumendo ni kapyanga wamu musebo.,Umulumendo nafwala ishati ilya kashika.,Bale tuushako naba pyanga sana umusebo.
4998,Abaice  abali bane bali pabwato pa mumana.,"Aka lumendo kamo nake minina, pa ntanshi yaba nakwe, pa mumana.",Abalumendo bale owa pa bangweulu.,Umulumendo umo natangila pantashi ale owa.,Abalumendo babili pa numa bale ilandisha no kowa.
4999,Bana mayo nabekala bale  shitisha  pa citebulo.,Pa tebulo palemoneka imbale no tumabotolo.,ku numa yabo abantu nabekala mumatuuka yabo.,Kunuma kuli namayo kuli aka shimbi aka mutuntula.,Cipalile kwati bale shitisha umuti wachi muntu.
5000,Ba kafundisha babili balefunda.,Kafundisha umo naikata ipepala ku maboko.,Ba kafundisha bale sambilisha mwi skulu.,"Ba kasukulu  nabekala, bale kutika kuli ba kafundisha.",Bale sambilisha utumisepela utwana.
5001,Bashitata batatu naba fwala ifisote nefya kukopelako kuminwe. ,kakopa uuli pantashi pakati nfwala ishati iya buuta.,Bale kopa umushili.,Ku lubali lwa kuno kuli utu puna utwa kashika.,Bakakopa naba fwala utusote nama kalashi ninshi bale kopa.
5002,Umulumendo no mukashana nabeminina.,Umulume no mukashi bonse naba fwala ifya fiita.,Umulumendo na fwala ama kalashi.,"Umulume no mukashi nabeminina, nabafwala ne ifya mpepo.",Bale lolesha ku ntanshi yabo.
5003,Shitata ale shitisha  ifitumbuwa.,Ku numa yakwe kuli naka puna  apa kwikala pa kushitisha.,Aleshitisha ifitumbuwa  ifya pusanapusana.,Ku ntanshi ye tebulo kule pita bashikulu ne mishishi isha buuta.,"Uyu shitata ala ipangila ifi tumbwa, noku shitisha pa nshita imo ine."
5004,Umulumendo alelwisha ukwima panshi.,Na pona panshi umulumedo pakulwa.,Napona ali panshi na lamya nipona mwitumba.,Nolu sapato nalu fulika nafwala nakasote aka buuta.,Umulumendo nai sunda wila ali panshi napona.
